"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25802432310143e-149,0,0,0,0,1,0,0,0,0,3.38534953470522e-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06637739781343e-137,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23019847845504e-271,0,4.30436871413305e-237,0,9.93899435737839e-263,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.91113415091413e-253,0,0,0,0,0,0,0,0,0,0,0,9.8922549532388e-288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26254389860147e-141,0,0,0,0,0,1.27763067069203e-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69074540244561e-307
13,0,0,0,0,0,0,0,0,3.05650240125037e-139,0,0,4.36605210375244e-65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.42279106509715e-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.353334784209e-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98085879031913e-237,0,0,0,0,0
16,0,0,0,3.54558638084766e-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4702747268038e-299,4.43623641041682e-88,0,8.80358957114781e-155,0,0,0,0,0,2.17929551584206e-264,0,1.27840459874135e-263,0,0,0,0,0,0,0,0,0,0,0,0,6.6019560613444e-152,0,7.4617270427031e-291,0,0,0,2.30109954666128e-131,0,1.63299634878291e-213,0,2.96752893753441e-138,0,0,1,0,0,0,0,1.32452944661104e-275,2.65673052748047e-279,0,1.97066654698499e-186,0,0,0,2.38137393921596e-135
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24832468869925e-129,0,0,0,0,5.66454655977687e-213,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94737876416913e-97,0,0,0,0,0,0,0,0,0,2.09595825347133e-270,0,9.34122338017812e-186,0,0,0,9.51131155675378e-144,0,0,0,0,0,0,0,0,0,0,3.94667096003294e-244,0,1.88937066600176e-179
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99177414494722e-255,0,0,0,0,0,0,0,0,0,0,0,0,1,1.74199551003235e-45,7.57404780694379e-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85284460560188e-287,0,0,0,0,0,0,0,0,0,0,0,0,8.3205963325202e-211,8.59661035533836e-125,1.36085378049008e-262,0,0,0,0,0,0,0,0,3.17967755891467e-205,0,2.26358864525336e-190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6754021948754e-270,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39278863960123e-294,0,0,0,0,0,0,0,0,0,0,2.91453495383953e-211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1,0,0,1.78587891049054e-108,2.03577022200297e-267,0,1.67242970891005e-194,0,1.99456027463932e-271,1.95607444441827e-252,0,8.7498142001099e-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33181156885803e-31,0,0,0,0,0,0,8.69796774754845e-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18615361100461e-252,0,0,0,0,0,0,0,1.47458509292899e-294,0,0,0,0,0,0,0,1.27411540230913e-133,0,4.94024415161183e-104,0,4.75591610077676e-278,0,0,0
