"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,3.33386906342286e-13,1.51548251785923e-09,2.07898424076856e-14,4.49589243097619e-10,2.44984283169412e-10,1.08112522446512e-09,1.66497277003989e-05,1.85358263488242e-11,6.43721928178864e-11,5.23418903408895e-12,7.27330329083799e-13,4.12161050991465e-11,1.51006464070839e-08,7.00283922487144e-08,5.20558544925257e-10,1.13632748240317e-10,1.46591139012922e-14,4.62084204990408e-14,1.33794945424638e-13,1.66680135855963e-10,1.28418817735685e-08,1.7199942549607e-11,8.48880210615877e-11,4.37924572175344e-09,7.62165494320294e-14,1.16347939608306e-12,2.26414933486908e-12,4.12553693391039e-18,8.68359819389517e-12,2.69579652252171e-14,6.06813968457162e-06,2.352293060292e-16,1.15471878586499e-11,3.82950841403069e-14,2.01775504611698e-12,6.05589643671186e-10,1.70524500538093e-10,4.15657215564219e-15,5.52092964238336e-13,6.14070199768317e-15,0.00495190600906426,1.72317027769307e-10,3.51126487268838e-15,8.30697052192783e-11,1.94885681873715e-11,7.7383620783424e-13,7.18408733287657e-07,1.82321187412752e-10,3.3260010551969e-12,3.68935747234599e-14,1.9419164701642e-09,0.995015033022169,5.24441192889762e-14,2.37680367200764e-07,9.85510790800243e-08,2.88174713943532e-10,1.71453344240053e-12,1.84314692173225e-17,1.26301164627471e-15,1.83285411410678e-12,5.87988523199509e-14,2.52925476294184e-10,2.16917275992824e-13,2.79494571030646e-11,6.31036742652894e-12,1.72940232770491e-11,6.6285507370276e-16,3.11647834178907e-11,6.6285100444594e-13,2.13123065870821e-15,1.6960939360405e-10,1.27024384171707e-09,8.97342778864911e-15,9.02021739359588e-11,3.12581234201386e-14,1.26198116889395e-12,3.21354627925663e-14,5.57654574557723e-13,1.00944855582596e-13,2.48026384131446e-09,1.0248663787757e-12,8.85020527654942e-17,1.58690290751451e-13,1.37639415907712e-13,3.28840411874263e-09,8.58022021103002e-15,3.24872080511648e-15,1.34643636937703e-13,4.77411297389012e-06,1.12476040164251e-14,2.75552500320948e-12,1.10149887160528e-07,4.01912120954902e-13,7.61261212930388e-14,6.13791390238298e-13,1.11581123169345e-11,4.28637186055484e-06,9.70408924302494e-19,2.29672801802374e-13
7,6.49054602725694e-15,3.82964039243442e-13,1.12287266507083e-12,1.16552543785924e-18,3.07082871497081e-13,1.35516864722958e-12,6.94609993729504e-17,4.97934048118803e-16,3.87206172856291e-16,3.52974631225723e-16,1.3102791861851e-19,3.87168487627356e-17,2.30159740048255e-16,1.37356597587207e-11,1.74629124479504e-13,1.42436666496961e-13,9.9310834019756e-17,3.93754915822662e-12,5.00511885932867e-15,3.3959746531962e-17,9.02398517914104e-19,6.92482356540443e-14,1.98269252793218e-22,1.58147594704495e-16,2.68450389497495e-17,1.45840169720974e-15,7.88252243605407e-14,6.53665288541911e-20,3.20539457564904e-14,3.03749716403146e-10,1.50018451492047e-13,7.50424447364775e-18,1.44742030257966e-14,1.90316911918029e-13,4.67342527617422e-16,7.59096276418897e-13,1.35929904731963e-14,9.80674825638956e-20,1.0336044902598e-19,4.7095509647868e-14,1.81756328385202e-15,1.99898586719057e-14,4.40129930005407e-18,2.56547611769741e-05,2.08447608647537e-19,2.16947196223058e-13,8.54317551013695e-18,1.08119115007922e-08,5.84156701574588e-14,1.35884174800769e-08,0.0120922407500551,1.66542428561307e-13,1.998427161928e-18,0.987880279687541,1.79853104540247e-06,7.76988428461694e-15,9.38321338551358e-13,6.96048189410955e-10,4.22414635964794e-16,2.29744634973887e-15,3.54757260526051e-21,5.77874725904833e-20,1.33797333627402e-17,8.72014191988147e-15,7.14084241429385e-19,1.78725277981972e-17,3.41898720741522e-15,5.82503390653474e-11,1.43694514805245e-11,3.45613068700765e-10,9.49388569155375e-13,1.59222926660778e-12,1.79866142886946e-11,2.66228020495615e-19,3.79663067951415e-13,3.16457375294902e-16,1.30180178733631e-16,7.94733046990289e-16,1.13455604250287e-16,1.05913903525214e-18,1.2846527611638e-15,1.69953832168372e-17,1.98915086270849e-16,1.45466661353107e-18,5.88288783165278e-11,9.30967270701526e-13,9.78872706320371e-13,1.14919780792153e-12,1.38305419911597e-12,3.34433995593175e-10,7.10097726264366e-14,2.86070775713937e-14,7.76408165915164e-13,3.53295697293034e-17,3.83868724037631e-17,5.41410297375055e-18,1.2803566225871e-21,8.33048912118902e-12,4.65023549192383e-14
9,1.10671827181386e-08,1.9485255093652e-08,1.88738284917009e-11,0.00336716482285337,4.22110953347951e-08,7.98829181938096e-08,0.0137894211656224,9.41477343378079e-06,1.43668256115943e-09,1.97827424543893e-08,5.32941759717997e-12,1.2071353500697e-08,2.24469161268952e-09,0.470207092643328,2.58358527714348e-09,8.39617419339427e-09,7.48461639528383e-11,1.8640117598001e-11,8.00330672784827e-10,3.32612275064553e-07,2.13930810608672e-06,3.1103971761884e-09,1.66403513467721e-09,4.06011246647841e-11,1.06147753681476e-14,8.59679879894291e-11,0.157766439256001,2.09162890147678e-18,2.41172687515341e-07,6.3702071561325e-13,5.57008760241672e-05,1.16574712014553e-13,2.01558101209395e-09,1.77988268944456e-11,1.73377524611978e-15,4.47462532243504e-08,8.0126214773661e-10,5.09785123233532e-16,5.68104034363827e-09,1.71755608129428e-09,0.000251981368413115,3.72900093839815e-11,5.09995132460707e-09,0.000122460478192414,3.12543312665185e-12,9.26741348139292e-05,7.41480954157428e-10,0.326549290696485,1.87629260667643e-12,2.99542421798064e-10,0.0164014512556075,1.5852399131832e-12,1.66864631013471e-13,5.61163931688303e-06,1.1505488947591e-07,0.000156195387682347,8.49919507820869e-09,5.35218102104578e-10,9.13950416068677e-11,3.23311633606984e-10,6.00010189202321e-12,1.08127165982333e-11,4.12012556649914e-12,2.06514897849811e-09,4.20929273069709e-14,4.02655820605469e-05,2.37554586122848e-12,0.00558636778995144,1.29263186096392e-12,1.69786644314702e-09,6.37044382236144e-06,9.3856713164074e-08,3.98147336264307e-14,3.34424200329876e-15,0.000452047224058288,2.50706786124677e-05,2.38800858832733e-10,5.32159312869196e-11,2.93306875812854e-05,0.00205907709010764,1.96818926607609e-10,9.47625055685074e-11,2.06569694612092e-10,3.40466145480253e-11,4.29071335684586e-08,3.6257427953113e-10,3.13688042101857e-09,0.00259309629192915,8.51815766242054e-07,2.79862452622285e-07,2.76230241599646e-11,1.16894669942402e-11,8.9781237873531e-09,4.31317329469941e-11,7.70878780203067e-11,0.000427965876240331,1.1095994294238e-06,7.50687993407618e-15,1.08042769982665e-08
12,2.04510376775018e-18,1.41647812748402e-16,3.24318352271829e-19,5.92298719582037e-18,1.50280982623823e-15,6.63195775603287e-15,6.01938170801663e-19,1.55423537806019e-13,1.89491479126329e-18,1.72739573048705e-18,5.49365390326908e-18,6.4218005700507e-08,6.13592671314746e-15,4.82947785110473e-19,2.03315867765941e-12,1.45055746750453e-09,7.11156614083839e-13,6.30067866352324e-21,1.11200102422081e-19,0.999365291696866,2.41268812665962e-22,3.24435854995197e-13,5.00004826470029e-19,6.25507000021303e-15,2.69489929977339e-17,1.52763387651152e-08,1.47649183800031e-18,1.86362833968341e-24,3.43874537125873e-20,1.82498978688361e-10,1.87443169616907e-26,4.87289861863443e-19,7.08342197881037e-17,1.89244537957391e-07,4.50159939828932e-17,3.71488439727858e-15,6.39755342041741e-15,6.93924912542757e-12,4.14161916849397e-19,9.29802171483859e-16,8.61933698797253e-16,7.80713411860352e-20,3.08021711486473e-19,1.35385743941914e-22,2.14115587168802e-21,3.03809238586479e-16,2.30840301686328e-18,1.04710003864275e-13,1.62613067346111e-15,3.84822273493198e-20,3.71868715080495e-16,7.71169904117147e-16,1.7626340464478e-19,1.39363551252991e-16,7.86492245525228e-16,6.10270984118082e-11,7.20387432920941e-19,7.2735958252623e-19,1.04449961151977e-19,1.12432947122509e-17,8.58812266828776e-12,8.41777512153843e-22,9.38899364339951e-14,8.95043927811157e-16,1.83870947207988e-12,2.1197111880923e-11,7.276656019168e-21,3.45184677866367e-14,1.69180285433009e-14,8.74096740366183e-23,2.05650327674521e-15,7.79209218527161e-15,1.51553049067518e-16,3.72519441222997e-18,2.36663599075258e-05,5.31529918111697e-18,1.20558122488647e-15,0.000610766399907339,9.96161183520719e-18,3.05901116317919e-22,6.8269147540249e-16,2.75738886315491e-21,4.17883390776226e-18,4.12859088213283e-20,5.0452057106954e-09,5.26338606712544e-20,5.17900412835675e-16,1.23045375722029e-11,1.23594215427486e-20,3.35181254116498e-22,4.21314510811037e-16,1.13543047200805e-16,1.31872805348447e-17,1.72896249381066e-19,1.87858715922435e-19,7.36030219029869e-20,2.76375452512938e-17,1.07546723433263e-11,6.80622623954984e-21
13,9.64464839988216e-16,3.81822287954712e-17,3.41730485025206e-13,3.93803512305588e-11,7.08722562683814e-13,3.12761881949687e-12,2.98354139894264e-13,1.14918848347387e-15,8.93640321697275e-16,1.51421360532227e-14,7.7767313346918e-13,8.93551440908639e-17,6.68874184537517e-16,8.7684962289842e-17,1.35971120268754e-07,3.28731432295228e-13,1.68154887883971e-16,2.5518354366541e-12,1.55794885239503e-13,1.36661098941573e-15,3.75289626814083e-15,4.97582162866216e-14,4.15555837050417e-15,2.62332513513953e-16,5.07275304595555e-14,3.36586442459718e-15,3.39577977367586e-12,4.40948140729073e-18,7.2070539171689e-10,3.58569455530192e-16,2.25394266525991e-14,5.8893400631049e-16,6.85342748944834e-14,8.56825134309204e-15,0.999998776946234,1.75192782863644e-12,9.85697674969576e-13,9.39501802731064e-21,1.33761394922689e-18,1.79115108135204e-17,1.83115200869798e-16,3.07161387600521e-14,2.95825836098891e-16,8.28265694240281e-16,1.42040848753559e-17,2.66317062107228e-07,1.55314668358036e-09,1.67626389892413e-14,1.37373922407348e-15,7.04790024202538e-14,2.36550286646848e-11,4.56322924914887e-14,2.82890763082578e-12,4.28469350717029e-12,7.24146930141667e-15,7.62950435583257e-14,1.84328709366857e-18,1.72729193744466e-12,1.07140934771035e-15,5.30231924173997e-15,1.29614857220661e-19,9.43560066848593e-20,1.11508828649745e-14,2.01253777349496e-14,3.66941339339136e-18,4.1659208773434e-19,1.81070371222891e-15,4.44022233290801e-18,1.00612293274317e-15,1.24960568603288e-13,6.85716456152296e-18,3.67472620007873e-12,1.07041552274312e-19,1.69736261952917e-15,8.14727144858097e-09,7.30357886519848e-16,9.29655962134451e-17,3.80091256773946e-17,1.95046576978831e-14,7.6543242208876e-16,5.04575503539285e-12,4.82531890202473e-12,4.59079755095658e-16,2.4532613680421e-16,4.8888844303678e-13,1.87126187463513e-11,8.0677065686656e-07,6.64912460004117e-17,8.62332531499871e-16,4.17855055075079e-16,4.34869806872361e-18,3.44899488596619e-09,4.31442198742817e-12,8.1537753848316e-17,9.27164859407513e-14,1.15473760560082e-18,6.48331950529181e-13,4.42144675984011e-21,3.2412269170286e-14
16,2.07163213667076e-24,5.3505585312311e-17,8.54677143752309e-24,0.999999726219552,4.24435047212028e-22,8.03228006295644e-22,1.43596166800229e-14,5.67281769672463e-19,5.66136525542044e-15,2.14117920116954e-23,2.41241472313933e-07,2.2196751286077e-18,1.53355847853818e-14,2.28499081425063e-18,1.90860832642513e-18,2.05206474838749e-22,1.73647933379819e-16,4.59940349380987e-22,2.45144485095388e-21,7.45298163643586e-21,1.78926036411891e-19,5.26699402927154e-15,1.27170106970429e-24,1.57508062985114e-22,4.86034481985062e-19,8.64415808588116e-25,2.30227529483641e-17,2.07152311109567e-24,1.70842657390586e-19,4.15479764452364e-19,1.12965488569446e-21,1.15623760044026e-28,3.54955472282241e-21,8.48168359021883e-17,1.05400483351262e-26,7.22507008043473e-19,2.13188367863393e-18,1.42805336449744e-22,2.39207756184126e-18,1.59621477970862e-24,1.62209101863817e-18,2.62652340958448e-20,2.6087077835085e-27,2.36966755396745e-18,4.02592766151007e-22,1.24264733415526e-15,4.30516166880384e-15,1.42225634776283e-22,1.40839202356715e-19,1.56927682994007e-20,1.58462528152596e-22,2.70181557301488e-16,9.90244044351084e-23,2.74097932974573e-22,3.37263151200458e-15,4.50654685676823e-15,2.22564913985644e-26,2.12946788316722e-31,3.33923826832977e-28,4.43606808135661e-23,1.73303020065206e-15,3.51127028675336e-18,5.89431337262306e-24,2.74403760593369e-21,6.28541770902589e-25,9.29680709742251e-21,7.61861215102547e-27,7.73690136138674e-11,1.93212396197371e-18,8.44348221277405e-25,3.61228551886698e-19,9.43732811088314e-22,8.00673104163199e-20,7.84547078801088e-22,2.80610793758722e-20,4.12442742321537e-24,9.51074625913266e-24,2.17410028739159e-21,2.84753272839923e-23,2.28292280664234e-20,5.14986534503672e-23,1.19160096197156e-28,1.1789952726032e-25,1.10323440585686e-19,9.02721967113275e-19,5.20625177977782e-19,3.96045401180924e-25,2.24174737455327e-19,4.06258349138152e-20,9.11394594620359e-20,2.52835154020373e-17,1.34633370095556e-24,9.85508379787263e-14,2.09402919549281e-26,9.87788406296649e-15,5.24993127327626e-21,5.86349471645411e-21,3.24614420545299e-08,8.83613000945676e-20
19,1.23250335949736e-18,1.92838831857685e-16,5.54545509222212e-20,0.999999112326656,6.40194069750073e-18,2.82520742987143e-17,8.16422818896383e-14,6.62102781198099e-16,4.36925672354486e-19,1.36780026712663e-19,2.58167724204413e-14,1.07034007626129e-10,1.82538220618675e-12,1.85068896017421e-23,4.2872172796941e-17,2.96945509640114e-18,8.51227117681523e-12,2.81040278973343e-19,3.86791973822182e-16,7.14684251370654e-07,2.29381094190068e-20,2.39513302622464e-18,7.42031173757548e-20,2.98929027934482e-21,9.60133682919918e-08,3.12254094193405e-14,1.93987764385978e-13,9.05270137399664e-22,4.86981767836441e-14,5.88765441989805e-16,2.98175292103731e-15,1.93503389109011e-26,1.47326519230855e-15,1.25588413297096e-18,2.13770826459999e-22,1.58252921328636e-17,8.90389337063891e-18,3.30427290021295e-14,6.59768060596471e-18,3.88553215424591e-24,1.41083983110441e-17,5.15364009019979e-21,1.31216302778771e-21,5.52187955566653e-26,5.654269360074e-23,3.05980948072245e-08,4.34986224497961e-08,1.18055597544496e-20,5.42817931898721e-14,3.10847451733468e-21,2.27811711819982e-22,2.38044816742631e-09,2.16610695676564e-18,4.24888153717563e-16,8.70806637731414e-14,1.77631054509277e-18,1.31378936904061e-19,1.04858610562711e-18,1.85017817880241e-24,9.75995822933208e-20,1.97173224053164e-16,2.18255974407795e-17,9.96020619515025e-23,3.84352750819412e-19,2.35519992415549e-18,1.54771557799301e-17,1.46438423563047e-21,8.20756075969063e-26,7.89235709106827e-19,2.00178671372549e-21,5.30713738950058e-20,3.31940616589829e-17,2.39397027106427e-19,1.91322649223751e-17,5.89423767015322e-19,7.53130778749645e-17,1.62521155658316e-20,2.13287096449322e-16,2.50144688840111e-18,3.22803004038024e-17,6.63114145261741e-18,6.95522183654831e-25,1.78017888396284e-20,2.77978666181806e-18,4.01237799940433e-13,8.45387125682857e-15,1.2946083823938e-15,1.2433362760469e-19,1.33366611315776e-20,3.19240413391881e-24,1.50048312759137e-21,2.28404516477402e-17,3.8021332498628e-10,1.40115718896926e-20,1.83671774770948e-20,5.91076917760187e-23,2.43199347084607e-16,1.6043137138921e-19,6.13895767984594e-21
23,6.48646671685091e-15,1.69803069334387e-14,6.92800376114362e-07,1.3182886950776e-13,5.56606940494128e-10,4.29012208056056e-12,1.13718374919173e-06,2.78516100166354e-07,8.906914513205e-18,9.66866266757045e-10,4.17979007694446e-23,7.47477410911811e-20,7.40488965297678e-21,4.94804948354157e-15,5.2595419168378e-22,1.38897752131038e-14,4.17249447989825e-19,1.26381676227236e-12,2.3111737957332e-13,1.36645413245622e-19,3.0977620055342e-25,4.39635499138114e-20,1.13854922524747e-24,1.7676165967395e-23,8.80355789341165e-20,2.97388793296917e-21,2.20137292331381e-16,2.60195160620227e-25,0.99987289038997,5.21913981633117e-20,2.68924689583194e-19,3.22124927792526e-22,6.97249474336199e-20,2.88846300004056e-18,1.53989081566669e-23,1.94802777286527e-15,2.7718166162791e-20,1.36141186496429e-26,7.45029252368868e-20,1.26754907752338e-21,5.95724286173959e-22,1.09800998211602e-21,1.02199312175261e-21,2.57082202512433e-22,6.21456837133628e-17,1.212504061282e-12,4.28555526992128e-19,9.33804852260734e-19,3.55268048649964e-17,2.13468235888705e-07,3.33145503763389e-15,3.4384412059011e-19,1.25049419303937e-23,3.31073893122053e-18,1.71359267508995e-17,2.84213116558756e-17,2.42390446834219e-13,3.54074148222536e-23,4.27607554667068e-24,1.89347585556983e-14,2.31664693081635e-19,6.85238642208118e-20,6.59636793250086e-26,2.86654730841811e-10,6.91568687036728e-24,4.8432146689359e-20,6.182578077767e-24,9.35090241972013e-24,1.48023007350581e-15,3.11513306363862e-12,1.82492104380216e-11,0.000124783932918944,1.37433684086604e-11,1.36452414011754e-25,5.16556681232744e-22,3.27676183570872e-14,9.50227513121922e-15,7.27042877985732e-20,1.35320402966582e-13,9.51937238008675e-15,9.04363879480908e-15,1.29452253381821e-21,4.39464948532765e-16,1.20637654497068e-18,6.43551892575254e-13,8.97701603164917e-18,9.21741651786906e-10,8.16221709458529e-21,1.04669389816075e-14,9.30716111151929e-10,8.22969070964202e-17,6.14033665497394e-26,1.03848788542718e-17,2.3012035029507e-22,5.9990330834104e-22,1.78004838913583e-20,9.7506376128124e-21,1.09756083159977e-23,2.6653916405719e-12
24,2.67924905084769e-14,3.09796623768726e-15,4.9930895913559e-15,7.47253069752105e-17,1.96880527710951e-11,8.68841252574544e-11,2.37551246552358e-13,3.19241224070689e-14,2.48250077189113e-14,2.26303049030326e-14,4.27880923253106e-16,2.7233872841662e-11,7.94411679684596e-13,1.71432135583662e-10,1.58658722804046e-14,9.13205904358568e-12,4.03513834383528e-11,3.92483364013928e-16,5.99603196228674e-14,1.28850581817089e-07,7.08835380099735e-18,4.43972298797043e-12,1.85561970691678e-18,2.81976391778164e-13,3.8055522531617e-11,9.35027218311656e-14,4.76787516087647e-13,7.1835392890652e-17,1.06992446558678e-16,3.41901172648418e-05,5.16452754336807e-17,1.25473466954276e-13,9.27986719328272e-13,7.49326700674716e-14,3.89802506749593e-17,4.86680502277773e-11,8.71489344731069e-13,1.03448436937206e-09,6.16451364081662e-19,1.09808861274826e-11,0.0357834714467369,5.47189244831403e-15,8.21793206237942e-15,2.11416480815771e-07,3.791138255148e-18,1.87072699833637e-17,1.71257896932928e-18,1.41129824663113e-09,5.28664630989247e-13,1.05420488096831e-11,1.50647778730196e-13,5.49330993513352e-12,1.00660235552356e-15,2.66429234921426e-14,9.36322564302042e-12,2.23699628481741e-18,5.22798913198891e-14,7.34189468461922e-10,1.24334960275375e-13,1.47296468940128e-13,2.68072419393372e-13,4.41903828417569e-13,6.0064179890902e-13,2.20861832530003e-14,2.5682078783034e-16,9.39005127458306e-17,5.32700507846262e-17,0.445111624078766,2.31326578481959e-12,4.2014863848177e-17,6.93311448054719e-13,1.02082817341347e-10,3.59729416400042e-07,4.00202677012583e-17,7.33896033123433e-06,2.02890815826757e-14,2.58255094453525e-15,2.12311196462909e-08,1.23359159219263e-15,2.41047550111834e-14,6.47541171077941e-15,3.51222708749585e-12,5.47461685946957e-14,2.69250783610534e-12,0.51906246515358,1.53293789789075e-14,4.46423280241899e-13,2.95592175243106e-09,1.60059468396298e-07,1.04176434862071e-16,6.42467835666399e-14,1.53083954089078e-08,1.58989807611101e-15,2.26508924047755e-15,1.8861665654383e-14,2.62991340255059e-13,3.47265443000603e-14,6.91098499827871e-09,1.12656255710341e-14
28,5.28146412712446e-19,6.89915008831226e-17,3.28968525687712e-24,2.00859366724162e-08,1.18598991430182e-20,2.24444346928131e-20,9.76230577760817e-17,2.72468689275443e-19,0.99999966236412,5.84599800024223e-24,3.04721618891357e-07,4.7812629028869e-15,1.66053827024013e-10,9.40627572040764e-20,1.29100152620565e-23,2.35903798099729e-21,4.82908854378353e-19,1.00657942650452e-14,2.53977887609756e-19,4.70207721425403e-12,4.22974165425981e-15,1.11672998875601e-17,7.10018502026601e-18,1.04975957709879e-11,7.51177910854372e-20,3.91379511537612e-22,6.57099760444452e-18,1.13331039848162e-26,3.18818667856331e-19,1.45794699989473e-19,1.03264532303779e-21,9.40732025066498e-18,1.58111501598418e-21,2.10181280198397e-17,7.73718764361079e-25,7.82581233207332e-20,3.54012226018391e-21,1.29305556193453e-16,3.71904072879954e-19,1.21697668145679e-18,2.24094535912448e-14,9.18344884135903e-23,7.26969379045389e-23,3.34208820431115e-16,2.06006420264334e-16,1.01918038325053e-15,1.25696103015239e-08,1.68629030529952e-19,1.22144172817178e-14,4.1174315633318e-23,9.00075183794495e-21,1.65371298929483e-18,2.346557541311e-27,8.08552114756692e-17,1.10410769941481e-18,1.79229127922345e-19,2.31191082695177e-21,7.29454591672428e-20,4.27719210129315e-27,1.14392581815542e-18,1.14867316523588e-23,1.33590833143406e-16,4.20824578625822e-26,3.0805416397585e-19,1.276836293888e-25,8.72651207599386e-15,2.8001357156712e-22,4.76821136536564e-23,7.85591916816532e-23,1.3324151737497e-21,1.70228933949788e-17,2.63705199379755e-20,1.03010482022932e-24,6.97844982739328e-25,5.81340874294812e-14,5.24118569420276e-24,7.35266038722901e-21,3.72342387053143e-19,2.30971693253307e-20,1.3655592601535e-19,7.45560616863735e-19,3.75126355784573e-22,1.41423644143268e-23,6.04632038944699e-11,3.36686894428578e-19,2.12972460138406e-23,1.51228516029298e-19,1.64938341005273e-20,3.24433385691854e-21,8.49152771292515e-25,3.63611434859571e-18,4.12444715225625e-24,1.55745936817022e-17,6.92691601729182e-21,2.32341107739756e-17,1.39035025202274e-20,2.42519300110367e-17,1.6874268513373e-11,4.22394924278886e-17
