id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.006,0,0,0.044,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.008,0,0,0,0.002,0.002,0.002,0,0,0,0,0,0.002,0,0,0.014,0.006,0.008,0,0.002,0,0,0,0,0,0,0,0,0.006,0.004,0.1,0,0,0.002,0.004,0.136,0,0.006,0.012,0.048,0.05,0,0,0,0.002,0,0,0,0.014,0.02,0,0,0.006,0.008,0,0,0,0,0.016,0.034,0,0,0.016,0,0,0,0,0.026,0.038,0,0,0,0.022,0,0,0,0,0,0.012,0,0,0.002,0
7,0.004,0,0.03,0.03,0.006,0.014,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,0.022,0.002,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.012,0,0.074,0.002,0.008,0.014,0.04,0.006,0.002,0.012,0,0.008,0,0.01,0,0,0.426,0,0,0.004,0.016,0.004,0,0.016,0.012,0.01,0.002,0,0,0,0,0.01,0,0.008,0,0.074,0,0,0,0.006,0,0,0.016,0,0.002,0.008,0.002,0.006,0.026,0,0.016,0.01,0.002,0.026,0,0,0.002,0,0,0,0.006,0,0.026,0,0.008
9,0.004,0.41,0,0.006,0.022,0.006,0,0.02,0.024,0.002,0.002,0.002,0.002,0.002,0.004,0.014,0.048,0.002,0.006,0,0.004,0.002,0,0,0,0.026,0.014,0,0.002,0,0,0.012,0.054,0.014,0,0.002,0,0,0,0,0,0.006,0,0,0.014,0.002,0,0,0.008,0,0.008,0,0,0.002,0.006,0,0,0,0,0,0.006,0.002,0.004,0,0,0.006,0.012,0,0,0.002,0.002,0,0,0.006,0,0,0,0,0.002,0,0,0.002,0,0,0.012,0.002,0,0,0,0.002,0,0.004,0,0,0.006,0.008,0,0,0.062
12,0,0.05,0.006,0.02,0,0,0.002,0.002,0.036,0.01,0,0.044,0.076,0.038,0.024,0.002,0.004,0.038,0.002,0.196,0,0,0.016,0.002,0.002,0,0.004,0,0,0,0,0,0,0,0,0,0.016,0.002,0.004,0,0.002,0.02,0,0.004,0.002,0.01,0,0.108,0.022,0,0.01,0,0,0.004,0.002,0,0,0,0,0.028,0,0,0,0.014,0,0,0,0.014,0,0.002,0,0.004,0.002,0.024,0,0,0,0.004,0.002,0.008,0.006,0.004,0.002,0,0,0.004,0.008,0,0,0.004,0.004,0.004,0,0,0.038,0.04,0.006,0,0.016
13,0.004,0.002,0,0,0,0,0,0.002,0.076,0.006,0,0.092,0.068,0.012,0.318,0,0.004,0,0.006,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.034,0.012,0,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0.002,0.004,0,0,0,0,0,0.002,0.002,0.004,0.004,0,0,0.002,0,0,0,0,0,0.004,0,0.002,0,0.002,0.004,0.012,0,0.016,0.004
16,0,0,0,0.092,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.004,0.004,0.016,0,0.006,0,0,0,0,0.008,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.018,0,0,0,0.004,0,0,0,0,0,0.002,0,0.004,0,0,0,0,0.018,0,0,0,0,0,0.002,0,0.01,0.002,0.012,0,0.002
19,0,0,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0.016,0,0,0.002,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0.002,0.002,0.012,0,0,0,0,0,0,0,0,0,0.004,0,0.002,0,0,0,0,0.004,0,0,0,0,0,0,0,0.002,0,0.01,0,0.014
23,0.002,0.002,0,0.016,0,0.038,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0.004,0,0.002,0.018,0,0.008,0,0,0.128,0.06,0,0.002,0,0,0.004,0,0,0,0.002,0.006,0,0,0.014,0.014,0,0.002,0,0,0,0,0.002,0,0,0,0,0.014,0,0,0,0,0,0.006,0.002,0.002,0,0.006,0,0.002,0.002,0.04,0.002,0,0.002,0.012,0,0,0,0,0,0.046,0.004,0.002,0,0,0.008,0,0.004,0,0,0,0,0,0,0,0,0,0.002,0,0
24,0.012,0.002,0.002,0.004,0.002,0.02,0.002,0,0,0.002,0.002,0,0.002,0,0,0,0.01,0,0,0,0.022,0.004,0,0,0,0,0.016,0.006,0.004,0,0,0.036,0.022,0.006,0.016,0,0.02,0.002,0,0.048,0.006,0.014,0.004,0,0.008,0,0,0,0,0,0.008,0,0,0,0.006,0,0,0.012,0.01,0.006,0,0,0,0.002,0,0.002,0.014,0.002,0.002,0,0,0,0.008,0,0,0.002,0,0.022,0.002,0,0,0,0.01,0.008,0.488,0,0,0,0,0,0,0.002,0,0,0.006,0.004,0,0.002,0
28,0.006,0.01,0,0,0,0,0,0.012,0.496,0,0.002,0.002,0.01,0.004,0.014,0.004,0.002,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0.004,0,0,0,0,0,0,0.002,0,0.01,0,0,0,0.004,0,0,0.01,0.002,0,0,0,0.002,0.004,0.002,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.004,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.012,0.004,0,0,0.002
