"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,0,0.002,0,0.004,0.002,0.014,0,0,0.002,0.002,0.01,0,0.002,0,0.002,0.002,0.016,0,0,0,0.002,0.022,0,0.002,0,0.002,0.008,0,0,0,0,0.012,0.008,0.016,0,0.002,0,0,0,0,0,0,0.002,0,0.004,0.002,0.076,0,0,0.002,0,0.306,0,0.004,0.012,0.01,0.058,0,0,0,0,0,0.002,0,0.07,0.008,0.008,0,0,0,0.002,0.002,0.012,0,0.028,0.072,0,0.004,0.056,0,0,0,0,0.082,0.018,0,0,0,0.014,0,0,0,0,0.002,0,0,0,0.012,0
7,0.004,0.002,0.024,0.02,0,0.002,0.018,0,0,0.004,0,0,0,0.002,0,0.002,0,0,0,0.034,0,0.002,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0.02,0,0.046,0.004,0.008,0.012,0.022,0.012,0.004,0.004,0,0.016,0,0.028,0.006,0.002,0.332,0,0,0,0.002,0.002,0,0.006,0.02,0.04,0.004,0,0.002,0.022,0,0.002,0,0,0.004,0.028,0,0.004,0,0,0,0.002,0.04,0,0.008,0.004,0.002,0.01,0.014,0.004,0.01,0.024,0.004,0.048,0,0,0.012,0,0,0,0.026,0.004,0.012,0,0.006
9,0.01,0.524,0.002,0,0.046,0.01,0,0.008,0.022,0.014,0.006,0.006,0.004,0.004,0.018,0.01,0.062,0.006,0,0,0,0.004,0.002,0,0,0.002,0.034,0.002,0,0,0.004,0.006,0.03,0.004,0.002,0.014,0.002,0,0,0,0,0.008,0,0,0.004,0,0,0,0.004,0.006,0,0.002,0,0.008,0.006,0.002,0.002,0,0.002,0.002,0.002,0,0,0.002,0,0.002,0.002,0,0,0,0,0.006,0.004,0,0,0.004,0.002,0.002,0,0.002,0.002,0,0.002,0.006,0.024,0,0,0,0,0,0,0.004,0.002,0,0.002,0.002,0,0,0.024
12,0.006,0.028,0.006,0.022,0,0,0.01,0.008,0.018,0.004,0,0.02,0.022,0.02,0.004,0.004,0.002,0.048,0,0.18,0,0,0.002,0,0,0,0.006,0.002,0,0,0.006,0.002,0,0,0.006,0,0.008,0,0.004,0,0,0.074,0,0.004,0.004,0.018,0,0.064,0.042,0.008,0.014,0,0.004,0.002,0.002,0.002,0,0,0.006,0.006,0.004,0,0,0.016,0,0,0,0.006,0.002,0.01,0,0.01,0,0.004,0,0,0,0.002,0,0.012,0.004,0.002,0.002,0.004,0.006,0.014,0.008,0,0,0.014,0.004,0.006,0,0,0.064,0.08,0.006,0,0.032
13,0.042,0.028,0,0.002,0,0.004,0,0.006,0.108,0.002,0.008,0.064,0.062,0.028,0.272,0.002,0.016,0.002,0.01,0,0.038,0,0.008,0.002,0.006,0.008,0.016,0,0.004,0,0,0.002,0.004,0.002,0,0.002,0,0,0,0,0,0.034,0,0.002,0,0,0,0.002,0.038,0.034,0,0,0.002,0.014,0.008,0.01,0,0,0,0,0,0.002,0.006,0.006,0,0.008,0,0,0,0.002,0,0.004,0,0.002,0,0,0,0,0,0.002,0.012,0,0,0.004,0.002,0,0,0,0,0,0,0.008,0,0.01,0.006,0.026,0,0,0.008
16,0,0.002,0,0.17,0,0,0.004,0.004,0,0,0,0.002,0.004,0,0,0,0,0.016,0,0.028,0,0,0.002,0,0,0,0.002,0.02,0.004,0.004,0.01,0,0.004,0,0.014,0,0.018,0,0,0.004,0.002,0.014,0.016,0.054,0.008,0.036,0,0.004,0.004,0.006,0.04,0,0.014,0,0,0,0,0.002,0.01,0.006,0.038,0.004,0.006,0.02,0,0.002,0,0.014,0.008,0.044,0.002,0.002,0.002,0.028,0,0.004,0,0.002,0,0.012,0,0.014,0.002,0.004,0,0.022,0.054,0,0,0.004,0.018,0.006,0.008,0,0.082,0.014,0.03,0.002,0.024
19,0,0,0.004,0.444,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0.002,0.008,0,0.012,0.002,0.002,0,0.002,0,0.002,0.004,0,0.004,0,0.004,0,0.012,0,0.014,0,0.012,0.004,0.002,0.002,0.004,0.01,0.002,0.036,0.002,0.02,0,0.002,0.01,0,0.038,0.002,0.004,0.002,0,0,0,0,0.002,0.002,0.026,0.006,0.004,0.008,0,0,0,0.002,0.016,0.044,0.002,0.002,0,0.016,0,0,0,0.002,0,0.014,0,0.012,0,0,0.008,0.03,0.01,0.004,0,0,0.02,0.006,0,0,0.046,0.01,0.016,0,0.02
23,0.002,0,0,0.01,0.002,0.018,0.006,0.002,0,0,0,0.002,0.002,0,0,0.046,0,0,0.002,0,0.008,0.01,0.014,0.052,0.012,0.032,0,0,0.21,0.186,0.038,0.002,0.002,0,0.006,0.002,0.006,0.004,0.004,0.004,0.004,0,0.01,0.012,0,0,0,0,0.006,0,0.004,0,0.004,0,0,0.004,0.002,0,0,0.002,0.016,0.026,0.002,0,0.002,0.002,0.004,0.014,0.026,0.018,0.014,0.022,0.002,0.01,0,0.002,0,0.004,0,0.044,0.004,0.002,0,0.002,0.006,0,0.004,0,0,0,0.008,0.002,0.006,0.002,0,0,0.008,0.002,0.014
24,0.004,0.028,0.002,0,0.008,0.01,0.002,0.008,0.004,0.006,0.002,0,0,0,0.002,0.002,0.024,0.004,0,0.002,0.012,0.028,0,0.002,0,0.002,0.022,0.002,0,0.002,0,0.062,0.026,0.006,0.004,0,0.004,0.004,0.002,0.002,0.002,0.02,0.018,0.002,0.008,0,0,0,0,0.002,0.006,0.006,0,0,0.016,0.008,0,0,0.002,0.008,0.002,0.01,0,0.008,0.012,0.006,0,0.002,0.024,0.004,0,0.004,0.012,0,0.002,0,0.002,0.008,0.002,0.002,0.002,0.002,0.002,0.016,0.466,0.004,0,0,0,0,0.002,0,0,0,0.01,0.008,0,0.002,0
28,0.02,0.032,0,0,0.004,0.002,0.002,0.02,0.664,0,0,0.004,0.032,0.006,0.02,0.008,0.004,0.016,0.002,0,0.008,0,0,0,0,0,0.002,0,0,0,0,0,0.006,0.004,0,0.002,0.002,0,0,0,0,0.004,0,0,0,0,0,0,0.018,0.014,0,0,0.002,0,0.006,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.004,0,0.002,0,0,0,0,0.002,0.004,0.006,0.002,0,0.002,0.006,0,0,0,0,0.002,0.002,0.004,0,0.006,0.028,0.016,0,0,0.006
33,0.002,0,0.012,0.006,0,0,0,0.004,0,0,0,0,0.002,0,0,0.006,0,0.01,0.006,0,0,0.006,0.01,0.03,0.018,0.018,0.002,0.01,0.026,0.012,0.04,0,0.006,0,0.01,0,0.014,0.004,0.002,0.006,0.006,0.002,0.014,0.222,0.004,0.002,0,0.002,0.002,0,0.01,0,0.01,0,0,0,0,0.002,0.002,0.002,0.056,0.016,0.028,0.002,0,0,0.002,0.016,0.016,0.022,0.004,0.02,0,0.062,0,0,0,0.014,0,0.012,0,0.016,0,0.002,0.002,0.002,0.036,0,0,0.006,0.008,0.012,0.006,0,0.002,0.004,0.074,0.004,0.014
36,0,0,0,0,0.004,0,0,0,0,0.012,0.002,0,0,0.002,0.004,0,0.002,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.034,0,0.002,0,0,0.02,0,0.004,0.004,0,0.038,0,0,0,0,0,0,0,0.04,0.004,0,0,0,0,0.006,0,0,0,0.75,0.01,0,0,0.014,0,0.002,0,0,0.004,0.002,0,0,0,0.008,0,0,0.002,0,0.016,0,0,0,0.002,0
39,0.004,0.002,0,0.004,0,0.002,0,0,0,0.006,0.008,0,0,0,0.002,0,0.008,0,0,0.002,0,0.012,0,0,0,0,0.012,0.01,0,0,0,0.008,0.006,0,0,0.002,0.002,0,0,0.002,0.002,0.008,0,0.002,0.01,0,0.026,0,0,0,0.002,0.074,0,0.004,0.008,0.006,0.038,0.002,0,0,0.002,0.002,0,0,0.132,0,0,0,0.016,0,0,0,0.008,0.002,0.006,0.428,0,0.008,0.028,0,0,0,0,0.046,0.006,0.004,0.004,0.002,0.008,0,0.002,0,0.002,0,0,0,0,0.016,0.004
41,0,0,0,0,0.026,0.024,0,0.002,0,0.03,0.392,0.002,0.006,0.002,0.008,0,0.02,0,0.006,0,0.022,0.018,0.002,0,0,0,0.022,0.004,0,0.002,0,0.042,0.006,0.004,0,0.036,0,0,0,0,0,0.004,0.004,0,0.03,0,0.018,0,0.002,0.032,0.002,0.008,0,0.018,0.008,0.016,0.014,0,0,0,0,0,0.002,0,0.022,0.002,0.018,0,0.004,0,0,0.002,0.008,0.004,0.006,0.006,0,0.006,0.01,0,0.006,0.002,0,0.024,0.008,0,0.002,0,0,0,0,0.004,0.008,0.012,0.002,0,0,0.002,0.008
44,0.006,0,0.006,0.01,0,0,0.01,0.012,0.002,0,0,0.014,0.004,0.018,0,0,0,0,0.024,0,0,0,0,0.004,0.016,0.002,0,0,0.014,0.014,0.008,0.004,0.002,0.002,0,0.002,0,0,0,0,0.002,0,0,0.004,0,0.002,0.002,0,0.008,0.006,0.006,0,0.44,0.048,0.008,0.02,0,0,0,0,0.012,0,0.014,0,0.002,0.004,0.004,0.002,0.032,0.01,0.012,0.004,0,0.026,0,0.006,0,0,0,0.032,0.006,0.004,0,0.004,0.002,0,0.026,0,0,0,0,0.01,0.04,0.004,0,0,0.004,0,0.02
46,0,0.002,0,0,0.002,0.002,0,0.002,0,0.002,0.036,0,0,0,0.008,0,0.008,0,0.004,0,0,0.002,0.002,0,0,0,0.002,0.004,0.002,0,0,0.002,0,0.004,0,0.014,0,0,0,0,0,0,0,0.002,0.014,0.002,0.248,0,0.002,0.006,0,0.098,0.01,0.02,0.004,0.022,0.118,0,0.002,0,0.002,0,0.004,0,0.032,0.002,0.02,0,0,0.002,0.006,0,0.002,0,0.042,0.058,0.002,0.012,0.012,0,0.006,0.002,0,0.066,0,0,0,0,0.022,0,0,0.006,0.002,0.016,0,0,0,0.034,0.004
47,0,0,0.004,0.018,0,0,0.01,0,0,0,0,0,0,0,0,0.002,0,0.002,0,0.012,0,0,0,0,0.002,0,0.002,0,0,0.002,0.002,0.004,0.006,0.008,0.022,0,0.01,0.05,0.024,0.012,0.016,0.004,0.002,0.018,0,0.444,0,0.008,0,0.002,0,0.002,0.002,0,0,0,0,0.002,0.012,0.028,0.012,0.006,0,0.012,0,0,0,0.012,0.008,0.036,0,0.014,0,0,0,0,0.008,0,0,0.004,0,0.02,0.006,0,0.016,0.012,0.008,0.01,0,0.012,0.044,0.002,0,0,0.01,0.004,0.012,0,0
51,0.002,0,0.012,0.02,0,0,0.006,0.006,0.004,0,0.002,0,0.004,0,0.002,0.004,0,0.008,0.004,0.008,0.002,0.002,0,0.008,0.016,0.008,0.002,0,0.006,0.008,0.036,0,0.002,0,0.008,0.002,0.008,0.004,0.004,0,0.004,0,0.01,0.036,0.002,0.002,0,0,0.008,0.006,0.002,0,0,0.002,0,0.002,0,0,0,0,0.012,0.024,0,0.006,0,0,0.006,0.024,0.034,0.05,0.004,0.012,0.002,0.312,0,0,0,0,0,0.052,0,0.014,0.004,0,0,0.008,0.064,0.006,0.002,0.002,0.046,0.002,0.008,0,0.004,0.002,0.018,0,0.01
52,0.002,0.006,0,0,0.002,0,0,0.036,0.016,0.002,0.022,0.046,0.014,0.438,0.026,0,0.002,0.006,0.002,0.002,0.02,0,0,0,0,0,0.01,0,0.002,0,0,0,0.004,0.006,0,0.002,0,0,0,0,0,0.008,0,0,0,0.002,0.004,0.002,0.036,0.072,0,0,0.02,0.032,0.002,0.012,0,0,0,0,0,0,0.01,0,0,0.012,0.002,0,0.002,0.002,0.004,0.006,0,0.002,0,0.002,0,0,0,0.002,0.016,0,0,0.006,0,0,0.004,0,0.002,0,0,0.016,0.01,0.01,0.004,0.002,0,0,0.03
53,0.028,0.008,0,0.008,0.002,0,0,0.004,0.036,0.008,0.002,0.02,0.014,0.004,0.004,0.026,0.002,0.006,0.012,0,0.01,0.002,0.008,0.01,0.012,0.026,0.002,0,0.026,0.012,0.002,0,0,0.006,0.004,0.006,0,0,0.002,0,0.002,0,0,0,0,0.006,0,0,0.028,0.012,0.008,0.002,0.002,0.002,0.002,0.002,0,0,0,0.004,0.008,0.012,0.002,0.032,0,0.018,0,0,0.018,0.026,0.006,0.33,0,0.008,0,0.002,0,0.004,0.006,0.024,0.074,0.002,0,0,0.002,0,0.012,0,0,0,0.002,0,0.004,0.008,0.006,0.004,0.002,0,0.006
57,0.002,0,0.002,0.004,0,0.002,0,0,0.004,0,0,0,0,0,0,0.014,0,0,0,0,0.002,0.004,0.002,0.002,0.002,0.006,0,0.002,0.014,0.01,0.006,0.002,0,0,0.014,0,0,0,0.012,0.006,0,0,0.014,0.01,0,0,0,0,0.002,0,0.008,0,0.002,0,0.002,0,0,0,0,0.002,0.006,0.64,0.002,0.008,0.002,0,0.002,0.002,0.01,0.034,0.004,0.008,0,0.026,0,0,0.006,0.002,0,0.004,0,0.01,0.002,0.002,0,0.002,0.006,0,0,0.002,0.048,0,0,0,0,0,0.016,0.002,0.002
59,0.004,0,0.01,0.016,0,0,0,0,0,0,0.002,0,0.004,0,0,0.002,0,0.002,0.004,0,0.006,0.004,0.002,0.03,0.008,0.006,0,0.002,0.014,0.016,0.008,0.002,0.002,0,0.004,0,0.002,0,0.002,0,0.002,0,0,0.014,0.002,0,0,0.002,0.012,0.002,0.008,0,0.006,0.002,0.024,0.014,0,0,0,0.002,0.022,0.032,0,0.004,0.002,0.01,0,0.004,0.378,0.032,0.01,0.018,0.002,0.032,0,0,0.01,0,0,0.064,0.018,0.01,0,0,0,0.004,0.042,0,0,0,0.026,0.002,0.008,0.002,0,0,0.004,0,0.022
62,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0.006,0,0.006,0,0.004,0,0.002,0,0.002,0.002,0,0,0.004,0,0.004,0.004,0,0,0,0.01,0,0.006,0.044,0.06,0.01,0.034,0,0.008,0.002,0.002,0.012,0,0.004,0,0,0.006,0,0,0,0,0,0,0.614,0.012,0.006,0.004,0.002,0.002,0.01,0,0,0,0.002,0,0.004,0,0.002,0.002,0.002,0,0.002,0.008,0,0,0,0,0.004,0.008,0,0,0.002,0.002,0.02,0,0.024,0.002,0,0,0,0,0.002,0.002,0,0
65,0,0.004,0.006,0.006,0.002,0.004,0.002,0,0,0,0.004,0,0.002,0,0,0.002,0.004,0,0.002,0,0,0.018,0.002,0.002,0.008,0.006,0.01,0.078,0,0,0,0.018,0.008,0,0.006,0.002,0.024,0.008,0.002,0.01,0.002,0.016,0.024,0.01,0.036,0,0,0,0,0.004,0.008,0,0,0,0.002,0.002,0,0.012,0.006,0.004,0.006,0.004,0.012,0.008,0.002,0.002,0.044,0,0.024,0.004,0.002,0,0.032,0.008,0,0.004,0,0.324,0,0.002,0,0.006,0.002,0.02,0.014,0,0.006,0,0.002,0.004,0.004,0.002,0,0,0,0.014,0.002,0.074,0.006
