"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,5.55481939493232e-106,6.0828664726378e-171,1.64051924067294e-153,2.13535358779274e-55,0,1.18574456922242e-107,5.08174870747451e-130,1.24559964383797e-127,9.85386304334145e-114,9.34938814236553e-234,7.64210162175184e-86,3.30624994164794e-196,2.39145408160188e-141,1.92360963526761e-162,1.89748801076772e-159,1.58108007374574e-196,5.22049679761311e-138,1.90882694345538e-125,1.34982561242504e-141,1.19369126895397e-171,3.01839492840438e-93,1.50160469137097e-99,2.45019273656095e-88,6.59238129403628e-124,1.07626573493559e-140,1.17791758656596e-105,1.04362579279814e-71,1.36808197260681e-85,3.62186319296683e-103,2.16410789620416e-105,2.29857732525338e-121,4.35078790964269e-48,1.54284288256316e-90,2.14842923783115e-91,2.66431439237264e-115,9.96901257616881e-200,6.57513521136804e-124,5.01190406871733e-145,2.40194120240657e-142,2.44349130432725e-107,4.51920980413008e-124,5.54151014401604e-123,2.48507130425725e-160,2.03902898210672e-104,6.00796405692815e-101,1.74995307176634e-81,1.27287331741189e-54,5.57654206332076e-233,1.05198958110381e-154,3.68102739942149e-123,8.4217277066361e-80,1,7.13611213114675e-90,3.08250723364551e-84,1.99305043946344e-82,2.94621384903551e-63,1.05573772939814e-49,1.26847710114558e-176,4.16080322621655e-84,5.78454769261462e-110,1.27578488406877e-135,5.62665474483118e-142,4.11419865154391e-114,3.01420789204767e-133,1.84723066561058e-66,1.38920480950344e-100,6.1607672555093e-94,7.34314023975772e-105,4.67486576232116e-91,3.78909694748484e-76,6.3043860982758e-105,5.7940470745746e-140,1.15256585882728e-102,8.9078188373472e-111,1.0490139977289e-88,1.63592833515696e-93,1.96712582957451e-118,1.73270203681867e-83,8.42868449234112e-80,1.35898586979493e-88,7.0195394427949e-99,8.51800400898603e-88,5.18398131140793e-126,6.69412968704897e-50,2.6864424294281e-94,5.44500985053116e-147,1.14990824149217e-93,2.99627164298174e-108,1.92775579372297e-109,1.48071261817874e-212,1.49082400043455e-95,4.60166215858143e-163,1.12134526638742e-114,4.88815856875851e-112,1.00409491145361e-97,1.55818102995752e-159,2.53707307362402e-112,2.50565406714784e-115,1.02166717786753e-137
7,9.32404076437787e-115,1.56982565308583e-185,4.96967157261959e-114,1.13419561544253e-53,1.4430257081009e-314,1.86296490755191e-79,1.75665127586042e-44,4.14847855462358e-89,6.98978694804656e-96,2.21772385323692e-211,7.90134712603486e-87,5.37552226414279e-161,9.20339812652988e-150,4.99616550419252e-126,7.99874945772358e-142,6.35043368631493e-195,8.00028864304783e-150,2.94762378569311e-65,5.39850237536441e-133,4.28208605665666e-98,7.80293543230999e-99,3.17462642201366e-112,4.3545596738033e-71,1.30744034938624e-96,1.54437254629e-126,3.78231224762748e-83,1.47543247271559e-97,6.09894198913136e-114,2.90124651592841e-72,4.52981486644084e-91,1.14202849319883e-70,7.95204292708821e-75,1.40311245903802e-114,2.52638076640476e-104,5.01170933958933e-96,1.42668738636892e-168,1.90884144330153e-75,1.14089479294277e-129,2.59707039701544e-117,6.06530348402937e-72,2.89843137279256e-81,3.11814878671009e-148,3.88061376906317e-136,8.37500703758887e-77,5.84752221281042e-115,1.48421446156344e-82,6.3827676412337e-133,3.76654655244582e-157,1.9973504441823e-124,3.86809068688618e-138,1,3.10435987142899e-90,3.74125931360266e-64,1.89548881089904e-56,7.37858163588936e-53,7.40885374956419e-64,1.89196435355715e-91,1.05305631853192e-143,1.47751926525254e-80,1.82107243006118e-74,5.02594265249294e-117,2.90810224740207e-110,1.47847619880039e-112,2.20411178892507e-96,5.16964693208385e-116,6.60764805286781e-100,7.85275278806155e-106,1.51040992271948e-65,7.74025188390246e-67,1.4689633853108e-34,2.08873405411078e-90,1.37241806726477e-97,1.35824369134974e-114,1.05145406966632e-65,4.33659284807115e-169,5.02971441980383e-152,1.2264395293555e-69,1.82737430642333e-94,3.97757053644585e-70,1.31764060318012e-72,9.29108692268142e-62,2.86426094043039e-52,1.12416401533064e-68,1.40833136726552e-57,1.32188044359659e-134,3.85613921387744e-142,2.08864959403438e-42,8.09104435595861e-56,4.78011475505176e-197,1.10226824042396e-185,6.42331104098543e-90,1.15937575179683e-165,3.65557097372265e-103,7.4009366465737e-125,4.58274449799273e-74,1.50090119479829e-141,4.11638949396657e-62,6.42073160428649e-157,1.10736689662317e-94
9,5.28425120578853e-122,1,1.04745465128331e-155,3.18962641499488e-105,1.98286163218444e-110,3.81733494097926e-136,3.55319412340648e-174,2.38094486236416e-102,2.32411565738948e-72,4.09910030199083e-152,1.81953214060039e-100,4.95149412074669e-93,4.16022547444296e-157,9.0144326919692e-138,1.23440357425654e-116,1.29088847215571e-238,2.45553741610786e-50,1.52322150366677e-150,1.78101891387686e-184,1.89903109859677e-115,3.46670811517943e-124,3.50157663825652e-151,4.45942578542038e-158,5.87136927219472e-194,1.84686325459391e-226,1.92268659001686e-155,9.74925131288553e-74,8.86694616142543e-203,1.68684560769346e-151,1.94805498541444e-157,1.09647342004575e-150,2.19504412569079e-119,3.42090934790826e-130,1.56831784441107e-141,1.14043137534276e-179,1.3819591300307e-163,4.99272234678653e-233,1.05688135348812e-200,1.63225037501761e-208,8.21092122757402e-156,1.97267311377194e-161,1.2357768707558e-106,1.03127621886449e-196,1.61323825654189e-155,1.35259097607363e-158,8.81616745804591e-158,3.951301542447e-181,4.98869112114743e-146,4.02330031998043e-98,6.87820482422385e-98,4.07731349278058e-151,6.28778895105364e-159,7.36716753038847e-140,6.88995065855896e-131,3.91602220182684e-132,1.04270216395771e-133,1.25167680222827e-130,3.60265494545278e-227,5.37090937354107e-139,2.63263056856831e-199,6.48734738106361e-193,2.0651493018077e-207,1.21015783083194e-193,4.20205841972038e-202,1.53327883177105e-159,4.41503897421307e-166,2.4046146672828e-152,2.62735022028587e-160,8.09207868254038e-143,2.2650923309412e-114,1.01615811204015e-158,4.52837550983775e-209,2.93606605766462e-171,4.1167624815375e-95,6.04514141807596e-217,3.37620833522947e-180,2.23301004063225e-159,9.95062891402521e-163,5.77288729626973e-173,4.63437315375935e-147,1.51392635222406e-167,4.42289310901511e-137,2.07952266307593e-212,2.73878477799323e-146,1.04495111006729e-203,8.03888256892008e-99,2.64298516760786e-137,6.98922502428532e-125,1.18168621515375e-256,5.58795430603305e-159,3.06191588399391e-144,1.98011690294351e-207,2.7079831381646e-137,1.01652840025048e-116,3.76962230534573e-82,1.11973312765928e-93,4.09463497686479e-157,1.18128456498263e-226,6.3965962389541e-89
12,7.09300647265629e-103,3.18928274173095e-53,1.17145069240642e-198,3.99348663696735e-91,1.1930324839868e-264,8.36304986742057e-162,7.37073014471845e-146,3.52392675918353e-105,2.63411308537344e-76,6.18834107833346e-128,8.28979731514927e-106,7.93962621044641e-89,7.51749903887015e-76,5.74187858102242e-55,6.92945348029522e-95,6.69189711868407e-234,2.30681837399362e-92,2.62408801454509e-96,4.35741253478746e-178,1,7.62541741610653e-101,1.59888341304382e-157,9.79161892720983e-127,1.0542030951871e-163,4.67834576929417e-192,1.67083265721477e-142,1.05523332092582e-70,8.9779336553675e-159,2.38352762797034e-149,4.43049749574036e-154,4.47857102882555e-153,3.91668328684559e-118,9.65120338425343e-146,4.0887773280157e-153,1.8721733163153e-178,6.02414201523076e-250,1.9396037694156e-145,9.7054410988428e-187,6.08297163816489e-204,7.42586324582916e-157,4.88022139518566e-169,5.39476650884623e-65,4.38115889511954e-213,1.70967043222615e-138,7.0966561568636e-164,5.63222307540641e-143,3.72353654419682e-157,7.60892678396874e-38,1.23503439177033e-53,2.42402471461762e-130,5.09041781093713e-95,8.75954054615327e-154,2.65416677379904e-116,3.41262501607412e-100,5.91715908298354e-85,1.84805782671663e-109,1.65362515398542e-144,1.94191563905404e-240,7.74340433020374e-102,4.92248242036745e-156,1.40873322343939e-176,2.2384703142753e-186,3.12069943940821e-147,1.7212479416713e-184,3.33361919615438e-182,5.43724615581237e-105,3.73888389692215e-164,1.36750335682317e-143,7.09911465501599e-116,3.22403977970458e-106,8.16054292129655e-137,2.62495954090212e-185,8.12848258157733e-183,8.43797730572598e-109,5.49954454539399e-197,4.93076594476799e-169,6.66593461871462e-122,9.08242712919544e-128,2.13813399444208e-169,1.00584708603557e-134,9.47539319864665e-128,9.23471318341355e-124,1.04792680365931e-177,2.3849355423828e-121,2.95730992575385e-190,4.59861845290775e-96,8.79820484764454e-101,4.35533378824719e-110,9.34207097914039e-268,1.27323537368932e-179,8.73054993096264e-155,4.53525994176408e-168,2.03291377429244e-127,1.72364936337405e-100,3.79430012924936e-77,1.81398625564704e-60,9.37903459975386e-136,5.24195296244012e-203,3.09049403951312e-52
13,4.96087773655939e-111,7.90266073144664e-147,6.76727797457626e-202,2.80255776532175e-145,3.36274161376077e-306,5.48997147676393e-189,2.10648457000054e-180,6.44030363566764e-119,1.84548217739865e-73,1.43617608719231e-179,2.15636496812778e-116,3.18736386491319e-49,9.62018401934096e-147,4.84171612554188e-77,1,6.04954584872646e-272,1.30876288149488e-85,1.60056191556746e-122,1.04542108272036e-183,6.45701754640165e-162,1.64782572561521e-123,6.5663585122908e-209,5.41873701911983e-166,6.17337690170684e-210,2.06875691125006e-228,1.94729042860925e-197,6.92266978376205e-121,2.82910811516071e-201,9.45999959124188e-177,1.1326416799173e-198,7.63525360950305e-184,9.86324586031125e-163,1.62279930869583e-211,2.07876985053724e-192,9.15482684587002e-199,8.89682196997046e-216,6.06149390207989e-218,1.97194665434531e-228,1.00811080708121e-219,1.66866245016716e-189,1.89683527298534e-207,1.17797346465453e-147,1.98941924797946e-216,1.42172694272526e-153,6.8586519860388e-172,1.05477380358153e-188,6.99613894567981e-226,9.26839742214904e-166,8.45166344390308e-102,8.90477948529035e-100,2.03416121532024e-159,3.28390286484477e-207,3.99965271479172e-149,4.1500947923015e-146,1.25508827124777e-154,5.58756123597358e-170,5.48717353590051e-208,2.6467126070879e-244,1.39656031874112e-142,1.99595747068783e-206,1.29643303865962e-195,5.1706783850526e-220,2.61750393397711e-204,8.29624419926977e-207,1.05554634490176e-217,5.97288643027157e-191,4.29584752218344e-171,1.97246007830179e-178,4.14815356438502e-159,3.5328904197161e-137,1.26938438269115e-182,2.22740942567213e-211,2.8032104648687e-217,1.46828900950157e-143,1.55950411567896e-221,8.45992115430864e-234,5.56842787844261e-194,3.40868954262874e-166,2.17152100441871e-208,1.35739432544871e-157,1.1241105552747e-173,5.81768322733173e-152,2.50934970040174e-208,1.5244256001953e-151,9.11283346176986e-206,1.77268475135462e-220,4.31296925758227e-152,1.17597250886073e-175,1.05582032176483e-298,8.8851289350182e-150,4.69907641232836e-165,5.51398136271364e-176,1.73527811169139e-143,1.34897708538264e-104,7.14192997253801e-93,2.60724097382666e-70,1.41850354182165e-156,1.70962274702808e-225,5.72828053042753e-145
16,1.86561053533673e-57,1.02831778099541e-130,5.91499707133343e-104,0.999999999992839,2.59486632878474e-310,4.02841120329499e-74,1.14287022921227e-95,1.10811913748849e-64,1.00360245041646e-65,3.74370156128868e-223,1.29037827649482e-43,1.53764799689774e-127,2.00079469402862e-69,1.04221083368182e-85,4.39608511391462e-100,1.97920130791063e-135,1.24657193115182e-107,2.06256283959189e-53,2.91584026976862e-92,2.13884990806301e-95,1.41471347795424e-63,1.08332306827176e-71,2.38396016583187e-48,1.73787825579043e-78,1.38900138946655e-84,5.57063386959659e-65,3.67902720976202e-47,1.08153736546353e-69,1.57609021636534e-49,1.91740539542635e-60,2.42692466971438e-45,1.73544779205692e-35,4.45148449372505e-66,1.43314547544107e-70,1.27093830757457e-63,4.61549900446695e-165,3.01544251957064e-89,7.38737009174752e-86,3.75740242170028e-86,1.84513784180598e-54,2.06730904059731e-73,1.18027017902741e-61,9.18310264834725e-84,5.78058988701512e-28,2.0856327446699e-64,2.41628143355884e-48,2.64484598552052e-77,3.73820317320343e-151,7.21854340326318e-82,4.26827000738113e-68,5.60399027208245e-39,2.76857847332705e-67,1.1645455995121e-13,2.27901845086645e-36,1.46886759244456e-47,2.96753779036678e-24,1.39226043890047e-70,4.2281067316081e-103,2.66241620193688e-29,1.13814932400625e-80,8.74022220395371e-99,1.05324786943419e-106,3.28859923132203e-64,3.96465689344138e-94,1.43592830967664e-104,1.34287869338561e-60,3.27692364667722e-65,9.92136032562818e-39,1.93018163320007e-38,1.54426930710598e-12,5.18135138508587e-55,2.74639502346802e-102,2.23620746654632e-86,7.7607830722071e-42,1.50344455717378e-159,2.60897336973264e-106,8.80198817036894e-63,4.45383449869385e-58,3.59495184275478e-125,2.78849460881414e-38,1.9189065518827e-84,1.21413743400254e-31,1.44385691806747e-88,2.33131043034376e-28,1.42153065087746e-103,1.12158918113482e-82,5.50025532977035e-12,2.28033981458576e-43,3.94571695607185e-173,2.04178601770976e-129,8.41072096983251e-53,2.29087749085594e-112,2.17267170330641e-73,6.02069397955731e-48,2.93542807433595e-27,8.63578055239331e-98,2.60469038284421e-34,5.26743639798617e-95,4.21871155662736e-50
19,3.98673452984375e-45,4.12151289046176e-127,1.02931576601891e-93,1,2.53120329931374e-313,5.34969748312429e-77,2.08809009098016e-96,3.67794844067071e-81,8.77826582490096e-64,1.71175019491959e-206,3.89642656785987e-43,8.54357341785644e-134,4.6831193148813e-75,1.14988617028731e-96,4.28195024440632e-115,1.15701573425844e-137,5.88661461383342e-99,4.64692731416932e-67,3.22359852037998e-102,2.79744337163307e-92,7.21687882845996e-58,2.22392051147365e-68,4.1988921776957e-51,2.71721525899981e-75,1.48674531495409e-88,2.03381813866203e-57,2.52583384927341e-61,2.25141149437507e-76,2.92518037516485e-48,2.19069551179626e-58,5.53097168195894e-54,4.97086261108115e-30,2.87423911574084e-54,7.86753773330218e-67,3.2172946593299e-71,1.93320026730315e-157,6.74787222230418e-75,1.21703358044396e-78,2.21331652843082e-76,7.91560733323877e-53,7.23253416432682e-71,1.7787813318784e-67,2.83048496285393e-103,4.6447469900979e-44,6.8660703795514e-77,1.84920596899892e-50,1.05765296019797e-74,1.37721862441607e-150,4.18339452139814e-88,1.19511277305751e-79,7.70198681532489e-36,4.81469452336543e-60,9.37496266035576e-38,1.66117335551835e-46,1.04546580856593e-39,4.13092888654379e-37,8.98247988289838e-68,1.19234395622515e-122,5.24021355703305e-41,1.2999103677164e-82,2.72580606213487e-88,2.78210207815831e-103,6.08520064321234e-70,9.16677725703551e-113,1.92974142790583e-92,5.96709716751574e-36,1.70649637407887e-74,6.65330316380658e-49,2.30984534889903e-36,1.86344504391462e-27,1.83913935591613e-59,1.01670316373331e-113,4.10517737605972e-94,2.35099164517463e-54,9.89024356366077e-150,5.1716373327269e-109,1.22489131328538e-53,2.57314107727804e-67,5.96828071632132e-134,6.93783864179201e-49,4.15177922266913e-88,7.46246374147056e-38,9.53286386830699e-101,7.69147498745082e-50,1.10764370621105e-108,6.04855627843507e-90,1.27770468235549e-32,1.77385654734819e-37,2.44434861608545e-166,4.90356121722416e-136,6.30176352426481e-57,3.67268725087713e-101,1.56599785916734e-71,3.44811820224233e-64,1.30472052041384e-30,9.4530948113266e-109,2.2565218904704e-47,7.94634257111121e-102,3.46563831851382e-51
23,5.66516411171773e-118,3.26822423699657e-166,5.51318896544558e-108,6.03627389684192e-56,0,4.69554742751308e-42,2.04578096308197e-97,2.97157758381172e-115,2.00547211836487e-118,4.80558886286257e-264,3.30102029737051e-89,1.02511289107715e-175,1.32380705296227e-138,1.976844388861e-141,2.41231809889902e-158,1.51323366580062e-94,5.35803076055864e-166,3.15931120234114e-105,1.73791010803794e-125,6.62395056171046e-147,1.06243395594496e-97,3.21885862031492e-108,1.73105124287685e-62,2.06861268272005e-88,1.40887512658617e-110,9.23604837663605e-76,2.24408563339752e-104,2.0751618554304e-101,1,4.22692968469092e-38,1.20482826030794e-46,1.81588375170917e-69,2.73613972682832e-114,2.39313348633423e-96,3.53983859639369e-69,4.56753983473959e-160,2.58101530487054e-100,5.87351358866083e-66,8.91622863786351e-70,3.79801017264408e-60,1.29227040850461e-73,1.46851660757135e-149,4.93677228580799e-63,3.05816418337916e-76,2.58711495725553e-103,5.70347455142434e-103,1.42753051002489e-147,3.19241441866238e-200,2.12859755243524e-150,5.70487468022676e-125,5.45439663991791e-75,3.98487253825086e-107,8.68591072523067e-76,2.42632475171212e-88,2.86353694555726e-88,4.31300482651568e-57,4.29002702624174e-98,2.94397734554821e-125,5.84612064605818e-83,1.24781261236398e-115,2.68324597293132e-134,1.04015565133449e-98,5.64280335915377e-86,4.04204777926016e-115,1.4850805479446e-141,6.59589487293561e-101,1.15894613486315e-63,8.87982176533442e-58,2.61525516259597e-75,2.28982187179049e-48,3.9415832211606e-66,1.13835939309896e-132,9.59999294993278e-108,2.93310524610735e-65,2.44045840327403e-218,5.49289419760035e-194,2.21464711272593e-70,1.14761505428882e-85,2.9263018674762e-144,1.08931352753394e-68,3.70235553392769e-87,1.36338932517208e-49,5.11062636861076e-121,5.00282943165423e-108,4.03928923574421e-135,3.4721371991508e-140,1.97055620562616e-78,1.08338927286342e-53,6.28459687332663e-177,3.97581981824436e-182,1.84078976050541e-75,1.30319419113583e-152,9.4426390449094e-101,9.46387659852508e-103,2.44241860720283e-92,3.78964511418839e-165,3.18626773117041e-61,1.05538546616151e-144,3.66957294735323e-95
24,2.05568013729903e-164,7.90792512869538e-244,2.52117497704766e-181,4.85809212149811e-145,0,7.04750177290367e-175,1.75094367635325e-190,2.11471941304071e-184,4.6124747103908e-148,1.75034794148408e-292,2.53053285307762e-142,2.0582628037332e-258,2.67843337113925e-251,2.56632291482036e-224,4.15404074451259e-236,3.17787296521629e-268,8.99415682794839e-195,1.16387747284158e-173,2.24746387313796e-223,1.26198462677616e-240,1.07031452327188e-175,1.42444023876224e-170,7.49320139660239e-195,2.48318690206771e-160,7.16218188359108e-232,3.03734110259775e-176,4.34958481331212e-152,1.03828036719256e-164,8.62934685339263e-178,3.59114232716817e-182,1.67459038029283e-184,5.94737623582903e-131,1.24823494601551e-182,2.42178118598747e-195,7.74766325218628e-171,0,2.35802939727872e-221,2.156819366912e-183,5.29657778200826e-191,5.33074757592108e-140,1.0891213943465e-170,1.15871509843164e-202,4.59879331904462e-220,3.35985953802804e-178,8.27805672143379e-179,1.05716619361279e-183,4.96531546371018e-193,2.74655268317324e-274,3.40695970454521e-220,7.40818987015089e-199,2.88954601421289e-169,2.08734010786446e-162,1.90780441035338e-168,1.84513610107629e-193,8.55544164854081e-169,3.41860590865474e-161,8.48489733842473e-177,7.77545235992918e-231,1.64616505032046e-157,5.89821190816887e-150,1.28943598463434e-218,2.40602733102769e-209,5.43699923736882e-205,7.84268907507671e-200,2.52380329856564e-176,4.40213188547135e-194,4.02365592487706e-181,7.55398109225794e-181,6.57260294617659e-175,1.99304187117181e-139,2.06086108390952e-151,9.64174076847838e-199,4.81475561112644e-117,1.81415326135132e-170,1.30461696926649e-234,3.34529774447014e-200,6.03505576727179e-209,4.32958068232948e-175,1.63083563577955e-165,4.3394356442344e-162,2.24153707400679e-188,4.43150933284624e-158,2.77552202254701e-199,9.43065364057394e-140,1,6.54018869984758e-233,8.41485387850409e-170,5.7314002275399e-183,2.33613090162812e-272,3.13949410857683e-237,5.75670120550183e-182,1.10019804254582e-236,9.27094032542771e-173,3.85639688382208e-192,6.99106757745399e-143,2.90825732455738e-223,1.6763427684869e-155,6.39396444221762e-196,2.07903871275776e-202
28,6.34125380021641e-56,5.79474292057246e-92,1.82220810328042e-127,7.05842971208135e-65,2.899249867942e-254,7.48304505307971e-95,3.84596454298854e-100,4.78241773459005e-43,1,1.77291413562581e-168,1.33481013551884e-52,8.17046711458253e-70,1.95669138637101e-82,7.11546406027085e-93,2.8068031668241e-69,1.83426439323304e-204,7.423260744733e-52,3.3385058462088e-71,3.81892721205142e-137,5.88872036789381e-93,5.85465388210637e-71,1.59508315646211e-129,4.62024798115891e-113,1.9186090519442e-143,7.04874072451232e-167,4.10622084165954e-132,3.3441621727696e-61,4.82574021102773e-146,2.95445478718618e-113,3.43489257268735e-121,3.99595602266665e-126,5.93539004957032e-84,6.99143406137984e-120,1.83433366522203e-103,1.75139407825607e-128,1.46050228373437e-168,3.1001868912167e-154,1.3197282282532e-164,8.1408584654744e-164,6.87907438401315e-110,4.58022558182186e-117,6.56262606239492e-77,1.21923263854848e-155,4.4407833818277e-114,3.03818575379201e-107,6.15870793960188e-123,6.41603336850743e-148,1.65369758441941e-109,1.28657445588711e-57,2.36072622697254e-77,2.28027955802087e-90,3.31680454832234e-121,2.28326157068321e-102,5.04420421392421e-83,5.83861299359537e-79,6.89834298936555e-75,1.73408161993249e-117,1.48864459229586e-185,4.50216121616191e-88,1.01332307874492e-133,5.85370663169326e-155,2.88171514788161e-153,2.00524520699955e-140,3.01474100951984e-154,3.36780657805431e-126,1.32483192505866e-111,2.51348845951122e-119,6.9944771181465e-127,1.17617022214307e-91,5.69920325184528e-76,9.92718082546455e-123,2.06762313819472e-167,4.03690108442522e-136,3.51759958814901e-80,1.07348720498279e-162,5.74183897510071e-128,1.78421093067445e-116,1.86919218191882e-121,6.06809930331177e-114,1.95523457993028e-109,1.86979019249194e-116,6.5103507129996e-89,4.10067745907525e-144,2.69448841127711e-85,2.31038264932466e-110,1.71226156079285e-119,2.76387845064489e-80,1.38657224730253e-100,7.79269927125982e-235,1.65682590947938e-115,7.79090904091111e-104,4.17428750776686e-132,1.62158323929831e-78,4.86563939512811e-59,1.9317137549444e-23,3.14835434915416e-56,1.45897548287724e-120,6.18633602920333e-185,1.30453796274797e-83
