"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,0.002,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.002,0,0,0,0,0.006,0,0,0,0,0.006,0,0.002,0,0,0.008,0.004,0.002,0,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0.096,0,0,0.002,0,0.534,0,0,0.006,0.002,0.062,0,0,0,0,0,0,0,0.058,0.002,0.01,0,0.002,0,0,0,0.002,0,0.022,0.046,0,0.01,0.016,0,0,0.002,0,0.042,0.024,0,0,0,0.006,0,0.002,0,0,0,0,0,0,0.008,0
7,0,0,0.058,0.004,0.002,0.02,0.09,0.002,0,0.004,0,0,0,0,0,0,0,0.004,0,0.038,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.004,0.004,0.018,0,0.004,0.006,0.026,0,0,0,0,0.004,0,0.012,0,0,0.434,0,0.002,0,0.006,0,0,0.014,0.038,0.002,0.002,0.002,0,0,0,0,0,0.004,0,0.034,0,0,0,0,0,0.002,0.02,0,0.02,0.006,0,0.004,0.02,0,0,0.004,0.002,0.056,0,0.01,0.006,0,0,0,0.004,0.004,0,0,0.002
9,0.002,0.656,0.002,0,0.022,0.004,0,0.002,0.032,0.016,0,0.008,0,0.002,0.016,0,0.068,0.002,0,0.004,0.002,0,0,0,0,0.01,0.028,0,0,0,0,0.006,0.004,0.008,0,0.018,0,0,0,0.002,0,0.01,0.002,0,0.002,0,0,0,0.014,0,0,0,0.002,0.002,0.004,0,0.006,0,0,0,0,0,0,0,0,0.004,0.002,0,0,0,0,0,0.004,0.008,0,0.002,0,0,0.002,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0.002,0,0.006,0,0,0.008
12,0.002,0.028,0.006,0.006,0,0,0.006,0.004,0.004,0.006,0,0.018,0.04,0.054,0.006,0,0,0.014,0,0.334,0.002,0,0.006,0,0,0.002,0.01,0,0,0,0,0,0.002,0,0.002,0,0.008,0,0,0.002,0.002,0.05,0.002,0,0.002,0.012,0,0.124,0.064,0,0.014,0,0.002,0,0.002,0,0,0,0.006,0.01,0.006,0,0.004,0.002,0,0,0,0.006,0.004,0.004,0,0.002,0,0.002,0,0,0,0,0.002,0.008,0,0.004,0,0,0.002,0.014,0,0,0,0.002,0,0.002,0.002,0,0.018,0.028,0.002,0.002,0.032
13,0.012,0.016,0,0.002,0.002,0,0,0.002,0.034,0.006,0.002,0.202,0.018,0.002,0.558,0,0.012,0,0,0.002,0.01,0,0,0,0,0,0.006,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0.004,0,0,0.002,0,0,0,0.014,0.022,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.002,0,0.006,0,0.008,0.004,0.026,0,0,0.002
16,0.016,0,0.004,0.298,0,0,0,0.012,0.002,0,0.002,0.002,0.002,0,0,0,0,0.004,0.002,0.008,0,0,0.002,0.004,0.004,0.002,0.004,0.008,0.01,0.002,0.006,0,0.008,0.002,0.006,0,0.006,0.002,0.002,0.004,0.006,0.008,0.008,0.09,0.002,0.032,0,0.002,0,0.006,0.018,0,0.018,0,0.002,0.002,0,0,0.024,0.002,0.026,0,0.008,0.004,0.002,0.004,0,0.012,0.01,0.042,0,0,0,0.012,0,0,0.008,0.004,0,0.01,0,0.016,0,0,0.006,0.004,0.082,0.002,0,0.008,0.006,0.006,0.004,0.002,0.03,0.01,0.03,0,0.008
19,0.002,0,0.006,0.63,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0,0,0.008,0,0.002,0.002,0,0,0,0,0,0.01,0.002,0.006,0.004,0.004,0,0.008,0,0.01,0,0.004,0.004,0,0.002,0,0.016,0.006,0.01,0,0,0.002,0.006,0.014,0,0.004,0,0,0.006,0,0,0.008,0,0.016,0.002,0.002,0.002,0,0.004,0,0.004,0.002,0.054,0,0,0,0.004,0,0,0.008,0,0,0.024,0,0.016,0,0,0,0.012,0.012,0.008,0,0,0.002,0.004,0.006,0,0.012,0,0.02,0,0.006
23,0.002,0,0,0.028,0.002,0.036,0,0.002,0.002,0,0,0,0.002,0,0,0.038,0,0.002,0.008,0,0,0,0.01,0.024,0.008,0.02,0,0,0.312,0.158,0.012,0.004,0,0.002,0.004,0,0.002,0.008,0.004,0.004,0.002,0.004,0.016,0.006,0,0,0.002,0,0,0,0,0,0.004,0,0.002,0.074,0.002,0,0,0,0,0.008,0,0.006,0,0.004,0.002,0.014,0.014,0.018,0.01,0.002,0.004,0.01,0,0,0.01,0,0,0.026,0.002,0.018,0,0,0.004,0,0.016,0.006,0,0,0.004,0,0.002,0,0,0,0.006,0,0.008
24,0.004,0.01,0,0.004,0.006,0.008,0,0,0.002,0.002,0.012,0,0.002,0,0.002,0,0.008,0,0,0,0.008,0.018,0,0,0,0,0.01,0.008,0,0,0,0.02,0.008,0.002,0.008,0.012,0,0.002,0,0.006,0.006,0.008,0.002,0,0.016,0.004,0.002,0,0,0.004,0.004,0.004,0,0.004,0.008,0.004,0.004,0,0.002,0,0.002,0,0,0.002,0.002,0.006,0.006,0,0.014,0.002,0,0,0.01,0,0.006,0.004,0.002,0.016,0.008,0,0,0,0,0.008,0.66,0,0,0,0.002,0,0.002,0,0.002,0,0.008,0.002,0,0.002,0
28,0.012,0.02,0.002,0,0.006,0,0,0.008,0.642,0,0.006,0.014,0.022,0.012,0.006,0,0.008,0.004,0,0.002,0.006,0,0,0,0,0,0.004,0,0.006,0,0,0.002,0.018,0.04,0.008,0,0,0,0,0,0.002,0.004,0,0,0,0.002,0,0.004,0.01,0.018,0,0,0,0.002,0.006,0.004,0,0,0.002,0,0.004,0,0,0,0,0.002,0,0.002,0,0,0,0.002,0,0.006,0,0,0,0,0,0.004,0,0,0,0.002,0.002,0,0.006,0,0,0,0,0.004,0.002,0,0.038,0.016,0,0,0.008
