"id","Acer_Capillipes","Acer_Circinatum","Acer_Mono","Acer_Opalus","Acer_Palmatum","Acer_Pictum","Acer_Platanoids","Acer_Rubrum","Acer_Rufinerve","Acer_Saccharinum","Alnus_Cordata","Alnus_Maximowiczii","Alnus_Rubra","Alnus_Sieboldiana","Alnus_Viridis","Arundinaria_Simonii","Betula_Austrosinensis","Betula_Pendula","Callicarpa_Bodinieri","Castanea_Sativa","Celtis_Koraiensis","Cercis_Siliquastrum","Cornus_Chinensis","Cornus_Controversa","Cornus_Macrophylla","Cotinus_Coggygria","Crataegus_Monogyna","Cytisus_Battandieri","Eucalyptus_Glaucescens","Eucalyptus_Neglecta","Eucalyptus_Urnigera","Fagus_Sylvatica","Ginkgo_Biloba","Ilex_Aquifolium","Ilex_Cornuta","Liquidambar_Styraciflua","Liriodendron_Tulipifera","Lithocarpus_Cleistocarpus","Lithocarpus_Edulis","Magnolia_Heptapeta","Magnolia_Salicifolia","Morus_Nigra","Olea_Europaea","Phildelphus","Populus_Adenopoda","Populus_Grandidentata","Populus_Nigra","Prunus_Avium","Prunus_X_Shmittii","Pterocarya_Stenoptera","Quercus_Afares","Quercus_Agrifolia","Quercus_Alnifolia","Quercus_Brantii","Quercus_Canariensis","Quercus_Castaneifolia","Quercus_Cerris","Quercus_Chrysolepis","Quercus_Coccifera","Quercus_Coccinea","Quercus_Crassifolia","Quercus_Crassipes","Quercus_Dolicholepis","Quercus_Ellipsoidalis","Quercus_Greggii","Quercus_Hartwissiana","Quercus_Ilex","Quercus_Imbricaria","Quercus_Infectoria_sub","Quercus_Kewensis","Quercus_Nigra","Quercus_Palustris","Quercus_Phellos","Quercus_Phillyraeoides","Quercus_Pontica","Quercus_Pubescens","Quercus_Pyrenaica","Quercus_Rhysophylla","Quercus_Rubra","Quercus_Semecarpifolia","Quercus_Shumardii","Quercus_Suber","Quercus_Texana","Quercus_Trojana","Quercus_Variabilis","Quercus_Vulcanica","Quercus_x_Hispanica","Quercus_x_Turneri","Rhododendron_x_Russellianum","Salix_Fragilis","Salix_Intergra","Sorbus_Aria","Tilia_Oliveri","Tilia_Platyphyllos","Tilia_Tomentosa","Ulmus_Bergmanniana","Viburnum_Tinus","Viburnum_x_Rhytidophylloides","Zelkova_Serrata"
4,3.25881867683875e-09,7.55661592619991e-12,9.36412584182267e-13,8.59415061612615e-05,3.97798920092836e-11,1.81093225542581e-09,2.98792390189904e-11,1.11100150302925e-13,1.83558188565052e-12,1.32847757972225e-09,4.79250374220938e-11,4.26886062510582e-14,1.49447573875529e-12,5.22784945116505e-13,9.210103892875e-12,7.62746070353708e-12,6.75177397705658e-05,9.65094699122929e-14,7.6697677278442e-12,1.45852174837735e-12,1.34468183098697e-10,4.11209338361556e-09,3.06604143101661e-10,3.44337956101893e-14,3.93492082914795e-12,2.68947423756314e-11,2.42614732333568e-08,1.68663067073708e-08,1.58235715748571e-14,4.67803649036504e-14,2.56758742694731e-13,6.98783336834291e-09,1.90647330358562e-11,1.34070331133311e-11,3.67230949372072e-12,4.72215980095223e-11,2.51640542434255e-11,1.050633543896e-13,8.28244230419819e-12,2.19938661450882e-13,2.44899701643979e-12,1.95074611223357e-10,4.42146371172061e-13,5.62552049322874e-12,9.72988019044557e-09,3.01517416165895e-10,0.000904383753855511,3.26660905984001e-12,1.82757276428659e-12,9.59892481946258e-15,1.55296639499813e-09,0.954630900637528,1.36625599633191e-09,4.08708184183715e-09,2.10049351601023e-11,1.33356664639677e-08,2.43190397754535e-08,2.29590372622978e-12,1.89534866270121e-08,2.65084670589956e-13,2.90011361466507e-10,7.83190001986784e-12,7.97290079347259e-12,5.21193567624931e-14,0.0442400456880091,4.70480184897735e-14,7.37933427576719e-11,1.61014586777425e-14,2.00321001109294e-12,1.99830783108523e-07,3.87438410492815e-13,1.20808046962072e-13,3.07996101357646e-09,2.85082022686347e-14,4.80827749543284e-12,1.22370795539673e-05,1.23963187320906e-11,5.81240786866183e-07,5.28525918030675e-06,9.60484407442061e-12,6.62220612800121e-14,3.39838975051707e-13,7.11434095402322e-12,1.59988662887195e-06,4.80049198436918e-05,1.96149871428377e-13,7.77865630523562e-11,4.03570993667147e-12,6.83407433312265e-08,1.9190506387839e-11,3.76195323233131e-10,1.31661301144542e-11,1.57784594961282e-12,2.05831952907007e-11,3.04385332440538e-14,6.67166241116129e-13,2.69445701979672e-13,3.09685430378272e-06,2.96764894407623e-12
7,4.17662548471876e-18,9.96442136648006e-18,1.53100018156087e-13,1.7287689507312e-13,1.14064377073434e-12,1.00057655940227e-16,5.26547635525559e-11,3.0692925282631e-17,1.08842765671661e-17,1.59962764484218e-12,2.530145223322e-19,6.84854584992934e-19,3.33878835498358e-15,3.18235155257301e-18,1.26159904716845e-18,4.64307902225348e-17,6.83513375893294e-18,6.67343438452851e-13,1.11083488967618e-17,1.19728906884108e-09,3.22439992869662e-16,1.40450827008627e-18,3.35154199734343e-20,2.09609948276113e-19,2.39531149619376e-17,7.10589278583891e-18,5.52587399987893e-20,2.45721290414404e-15,1.50435819518954e-18,2.20462429216415e-20,4.15012232266944e-18,9.46394077222679e-18,5.77392929047752e-19,1.19958821039996e-18,4.569296098144e-14,1.31307211924202e-17,6.55958267961158e-11,2.50895017072031e-18,7.33686040715265e-14,9.97150871961168e-14,4.3407223814807e-16,4.75446071177158e-17,1.66317472799853e-17,1.46118446859502e-16,1.16585455373506e-19,2.30670211321929e-16,2.94396590921284e-18,5.97136887163931e-13,1.43911604319506e-16,3.08826343967641e-19,0.999999524161001,2.18967598882322e-17,2.46694388654406e-18,2.37774280278329e-13,1.34853841692941e-15,5.56478116006696e-14,3.34299352332514e-15,1.49011680576227e-10,4.62281666048082e-10,7.14305436932284e-17,1.33800365624746e-18,4.7675364975156e-17,8.67535143519177e-19,8.52345562392426e-15,1.81453604734515e-18,7.85088507918263e-19,4.09121746253008e-18,7.12971437575806e-17,2.78803189877504e-18,2.28528979825554e-07,4.65173520555463e-19,7.35398661197792e-19,1.86269155421817e-18,4.13322519471163e-17,2.92695164797285e-17,2.32621586783115e-18,1.71702332134371e-16,1.92462989676236e-18,2.45377686459131e-07,4.16368030592975e-18,4.79461214118956e-18,2.61433782696382e-18,4.72381401754385e-14,2.73219714395622e-17,3.11603764561743e-15,8.60850200882679e-16,2.78234820004e-17,3.68754922591499e-16,7.66269889998852e-18,1.16818428346213e-16,2.7647267107732e-13,2.23992871491077e-17,9.60485394220552e-18,4.25924666686308e-18,2.75332120389976e-13,6.70954882868218e-17,3.09121732095475e-14,3.80557825478467e-18,5.85724873886534e-16
9,3.68526729073225e-13,0.999451225647576,3.47844547798451e-11,5.28212603630218e-13,8.78900087339609e-14,7.04453028958528e-15,6.60154211063299e-14,2.25122366631918e-11,5.69874618087666e-08,3.3091034179248e-12,6.44930322650495e-15,1.14041626165587e-14,6.94865309648193e-12,4.24012888617244e-15,1.88189923586917e-12,2.00092940377929e-11,0.000536932381363557,4.7063665666677e-15,2.52101170747563e-15,5.75886940859399e-13,5.97263742685361e-14,4.09153716149598e-13,2.09055830228569e-18,2.25334883223049e-15,8.69384463482277e-15,4.57235337086006e-06,7.04886734665536e-06,2.00326380855587e-17,2.88948915451153e-17,9.69907504361543e-16,5.67284821182994e-16,2.4977512545162e-16,2.46816748563918e-08,2.36010157424414e-11,1.03452468276454e-14,7.15352715827533e-10,6.21979475261884e-14,1.58911519542473e-16,3.40457164670678e-13,5.17477011688518e-10,4.84059828031332e-11,8.71309250643457e-13,1.27319585689534e-13,1.99966403928537e-15,1.08108382182139e-15,2.5961077821307e-13,1.3331171057378e-15,7.21727363314893e-15,4.88425294693319e-09,1.94181343821096e-15,9.32608971381373e-11,2.80505766169575e-16,2.0571608304046e-14,1.50007192915255e-09,7.83938151809676e-13,9.40265643987863e-14,2.09403485179255e-09,5.59366838157906e-13,2.15673614021324e-15,7.13876068849658e-16,8.49924604883738e-10,1.8287599948358e-13,3.14873322212183e-16,2.90438907014135e-14,1.29702421846493e-15,1.41420887332741e-13,4.61416375166632e-12,4.73433175637414e-15,8.35890332265266e-18,2.06699424916484e-14,3.38993964485026e-16,1.66281455247613e-13,6.00142131199769e-11,2.03980807435055e-09,1.32119935111271e-13,6.93784759294799e-13,3.66273380407492e-11,6.98550975015478e-16,3.35356253482506e-15,4.43014723109738e-12,6.6635312558243e-15,8.87322297021897e-15,1.57184876095083e-14,8.00957514513469e-16,4.75863527429375e-12,4.02197235504037e-10,4.00178700830477e-14,4.15597595022995e-14,2.78118962326944e-15,4.23996694552821e-14,3.67009449286591e-16,7.22336203270124e-14,1.22777297536021e-12,1.31018874979546e-12,1.29046059298032e-15,3.09317569628707e-13,6.35843481986367e-17,3.65631127811687e-15,1.25703177919152e-07
12,6.97635058987455e-11,3.05532790925648e-11,1.076578649528e-14,5.65079806751351e-10,1.20817980844703e-12,1.61290405861828e-14,9.07481173371681e-13,2.03596046946651e-11,1.58399951137617e-10,2.17027864805868e-06,2.7826149354251e-16,3.8268441263754e-12,0.00195227500205306,2.94213665675268e-06,4.25684960704525e-10,1.15127032512891e-11,1.51174928664686e-13,5.31015140531067e-11,3.46550876870079e-14,0.940539729330733,2.83762798482099e-12,5.62442939910236e-12,2.94922616725777e-14,6.86793499870349e-15,1.19509940553415e-13,3.22582113216619e-13,7.2645647880113e-09,6.69124567456302e-16,1.91376837792069e-17,1.52194490398968e-15,6.71482949982627e-15,5.89854428259336e-17,4.71542766734427e-15,2.25637130339321e-13,2.01960205062936e-13,6.55134576647677e-14,1.23828767048212e-12,2.56816291378233e-14,3.20677558851541e-14,5.22064573036091e-17,1.88185958144622e-15,1.8766770579021e-12,8.24239757262137e-14,5.38526973725131e-15,3.03361719562523e-16,2.43252994260163e-14,8.20580308194985e-12,0.0574968609465004,2.95882637907464e-08,1.72773956806495e-11,8.26223215689391e-14,6.51620769414223e-15,1.66452264833285e-13,2.56032049732944e-15,2.62639231453207e-12,1.96592865711384e-15,6.83224495574983e-13,1.62762876265149e-13,2.08670119507584e-11,9.81329368566333e-15,1.41025054274157e-12,2.37868108125979e-13,6.51074382886674e-12,2.72800759889052e-11,9.25342823180595e-15,3.91706401498208e-15,3.85891468457571e-13,1.78402505078945e-12,4.7775987007659e-15,2.76615996448597e-17,3.76008322537709e-14,5.04395528928106e-10,9.29359995809599e-15,2.16480574938598e-14,1.81618776790425e-12,5.4057348226181e-10,1.19190387395374e-13,3.33843645050834e-11,4.60998563194415e-14,6.05839689566992e-14,3.57638015023205e-12,7.59184474153349e-12,2.16074640077283e-13,6.16368823610507e-13,4.21482986783696e-11,1.5491742741187e-14,1.30575865816412e-16,6.96668784102837e-15,3.82317336370131e-14,3.15470663725683e-12,5.04509675435328e-15,3.99877881161099e-13,2.10797653400579e-15,7.6756399179208e-13,1.08948619096907e-08,5.60694470645124e-06,3.15110013806117e-14,4.84012227229194e-12,3.65028072472139e-07
13,1.36069869739616e-16,2.01616103279571e-14,1.15106730458524e-19,1.88759435315015e-18,4.88986860992025e-18,6.52790629673268e-20,3.67284867723883e-18,1.51933132037603e-18,1.46150880150841e-11,1.84106051898149e-16,4.20273955619539e-19,1.89018036931032e-07,3.53761649121484e-15,2.3590479589819e-19,0.999999810951993,5.10742698159156e-18,3.73948269835503e-14,2.06263686641066e-19,3.74258385325481e-17,3.04207833663795e-19,1.82680390792061e-18,2.83617277946371e-20,3.29920289272936e-17,5.95032958462097e-20,4.83692645350694e-19,5.0988109592019e-18,1.88069685517874e-17,1.11454027261904e-21,4.78191013433877e-19,1.61596277297568e-19,1.22341177941303e-18,1.41370358983753e-23,1.16594395647691e-20,2.42235985433055e-20,5.52050192875852e-21,2.30574107355611e-17,3.77496479201105e-19,4.78186970758355e-21,2.0515623631122e-18,2.06736546513602e-21,4.57607707160647e-18,1.70383246318574e-12,5.43498866606209e-20,1.12285057156541e-20,1.65279252608212e-19,5.51813370291188e-20,1.37890200704341e-20,2.52616253142955e-15,1.29015474863623e-11,5.3749324849402e-13,1.66083450450135e-19,1.56062831738729e-20,8.75688381902412e-16,1.03623620789942e-20,3.14480782377128e-20,7.13703462280332e-19,3.83935372554765e-19,2.82219539098422e-19,1.19992599030377e-19,1.95826381231067e-20,3.02954232335434e-19,9.62721358031741e-19,5.11018355620213e-20,1.47237142622423e-16,5.03703999528293e-16,1.56859474223193e-18,2.28408017999382e-17,7.66026201050391e-20,7.27603961437303e-22,4.35375199285047e-22,1.76608667765121e-21,6.13546648713039e-16,3.76140115579241e-20,4.85454915527235e-16,7.35065290615979e-18,5.5139476635917e-19,1.63449122066914e-19,1.03052491272426e-19,9.98216846896497e-19,8.82892341414092e-17,3.04188826918146e-18,4.14720123523252e-22,8.74516948597187e-19,1.26883995608685e-20,3.0363981439764e-19,2.41113451125104e-20,5.61846622384649e-19,2.81962835383826e-20,1.54734885831204e-19,5.54770901486956e-15,2.04190231064983e-20,2.11990920720708e-15,6.96410431452166e-19,1.3729992050546e-13,1.72205413119261e-16,1.09199611804557e-16,1.14122508364508e-20,7.68473634001168e-20,1.39548389835642e-19
16,1.29931240274823e-07,4.00071656141747e-10,2.66546829202806e-10,0.678627975240301,5.31353479187192e-08,7.09349774387715e-10,3.99108189589152e-08,1.48400243773742e-10,4.33984481063357e-10,2.62363941206364e-08,7.30758199023069e-11,4.3052463111644e-09,7.52327582067501e-10,6.9830193772541e-10,5.4167779927441e-10,1.01882821286346e-08,6.41094049159287e-11,1.15634713189153e-09,1.5241224964997e-09,1.6323362088268e-09,1.488548462912e-10,3.08190587476187e-10,2.85791219191297e-11,9.84589349337714e-11,5.2560193113754e-09,8.45308324626375e-11,2.21425725153338e-11,1.21110919560914e-11,1.40299282152337e-11,3.63989704417094e-11,2.95316081908138e-10,2.1112202071015e-09,2.07382863088629e-10,2.63224384568104e-10,2.72272188490268e-09,2.88126722417467e-09,1.20353468438218e-09,5.19618005343512e-11,3.64310781957749e-10,4.42334575724577e-12,4.97256752490029e-08,1.65566897511515e-09,5.68019679055661e-07,0.321318683492546,4.27500429588268e-10,2.66643807951739e-08,3.60888513707478e-07,4.36332084705892e-09,4.56161981308021e-10,2.83391365151989e-11,3.35655733449386e-09,8.11957835969448e-09,1.55469409110683e-08,1.12602077992766e-10,1.42494197200051e-11,2.77829073141737e-09,2.91950786686848e-10,7.15825734444136e-09,6.74174073801775e-07,3.54083540509064e-10,6.40737086810138e-07,1.04613594438037e-08,5.30485546078567e-09,6.43252436730623e-09,2.17891178728667e-10,1.18752522930842e-10,8.97733504558633e-10,2.77371653722472e-09,4.02046381118917e-11,1.71058808155811e-09,1.25001840920967e-11,4.06785920988105e-08,4.08730557039067e-10,3.80794853003825e-11,6.42259616005734e-09,1.58552356382706e-07,1.6558186772632e-08,1.81716665334623e-08,2.02745715634207e-09,6.87142911364435e-11,8.36030731570155e-11,6.99967287374753e-11,9.50289363744652e-09,2.06099549757194e-06,1.41177923131925e-09,2.62004768232422e-10,2.70027216717686e-06,3.06392733249652e-10,6.64199652162047e-08,2.56334180000594e-08,4.85769751218322e-08,4.9150633877434e-09,5.15606982695714e-10,5.58790963572854e-10,4.49883233009466e-05,1.47226932044143e-08,6.84670001205029e-10,2.39990666117735e-08,4.70021190300245e-07
19,1.23913464859748e-13,1.48863648730123e-16,5.7927340594369e-17,0.999999999995651,6.50083567084688e-15,8.67853167710653e-17,4.88288220932813e-15,1.27499695629796e-16,4.48316970548039e-17,3.2098865422138e-15,1.21222370993854e-17,5.16194092448554e-18,9.15255540071418e-16,8.5433662766855e-17,3.3869050529702e-17,1.24648408736801e-15,1.83496556417884e-16,1.57716686657017e-17,1.86468600380524e-16,4.99569859660494e-17,2.56656984195272e-14,1.48707514883301e-14,1.94924547702302e-19,1.20459483438661e-17,6.43046991545277e-16,8.10713083641206e-14,1.48348033833999e-18,1.48172595826005e-18,8.19177808035473e-17,1.38070607451024e-17,1.11414185655686e-16,5.80337310327233e-15,1.32770918552509e-15,3.2204154772606e-17,3.33111051293424e-16,3.5250824084785e-16,2.46434454247705e-17,6.35726008623454e-18,8.56275583715556e-17,5.41173613328644e-19,2.868055932603e-17,2.62810927939271e-15,1.45046624210924e-16,1.69030609942526e-17,1.74721093585384e-16,7.33608527887811e-17,8.95048114703399e-14,5.3382978116875e-16,1.1755105356814e-16,1.86630999753174e-17,3.81321833813162e-13,1.31420206961421e-16,1.491301068979e-16,2.22806748597114e-12,1.74334280547972e-18,7.23740201747073e-15,3.93243639063059e-15,3.75198811745997e-16,2.38605911260867e-15,4.33203979134324e-17,9.61788153008822e-15,1.27989651139713e-15,9.99921133015931e-17,8.51737725801496e-18,5.85376151981216e-16,1.45287950903379e-17,1.09833053199977e-16,6.0349846286141e-16,8.1243957241248e-14,1.2104116167193e-14,1.52933266896156e-18,1.97425648886458e-17,5.00060993454564e-17,1.05917769728191e-17,7.85771371067737e-16,1.47157093602297e-15,6.41327592608422e-16,5.16688736485871e-17,2.48049471965254e-16,4.93796967325519e-17,1.31430977660921e-18,8.85958003749712e-17,1.16263314649207e-15,4.38069817714098e-16,1.00386277926151e-16,4.39992632448657e-16,1.36289621978115e-15,1.74211942319267e-15,4.58340958298729e-16,3.13611722381219e-15,8.33236855388302e-13,6.01332832190999e-16,2.75568887099372e-16,5.73397418920331e-16,1.24230164736161e-16,1.09028723511916e-16,4.64873992638183e-17,2.93616844024557e-15,4.04105884310644e-13
23,5.97675966642883e-13,2.04210042984938e-12,1.22382949062589e-12,1.09328524097595e-09,1.00148926961816e-11,0.000112541382708482,7.52234679828409e-12,1.8292460438024e-12,9.00373771850921e-14,4.9450072608136e-12,1.3535714112524e-15,7.95225106150553e-15,6.85644254678468e-13,1.31615161503044e-13,5.21771387130204e-14,2.91524239575787e-09,1.38601191258325e-14,2.42971140333202e-14,3.66944531704536e-12,3.67194960228803e-13,1.9192821472354e-11,7.38686241660436e-11,1.94085556233833e-12,9.67660029701976e-13,3.11698727826688e-12,2.52500321874268e-11,2.2853760381571e-15,1.43183151399237e-12,0.999290392354082,0.000420713768786528,5.51222437799391e-11,3.13625241795772e-14,8.97920407854933e-12,1.01874778765873e-13,4.14936485599169e-14,5.43058278544679e-13,5.60587555102642e-13,0.000176090927368186,1.21794358289637e-12,3.28753800221308e-12,2.11683527658855e-11,4.63141191459564e-14,5.72971381470907e-08,1.27539482155797e-14,2.71883656049963e-15,1.13016350574045e-13,7.2688081102739e-14,8.22393950757827e-13,1.00014247616528e-13,2.76297750729328e-14,4.83674957437553e-11,1.19806601362691e-13,1.49886991530444e-12,2.12422814446894e-12,1.8599374694832e-13,7.28614122246374e-09,4.04661936335605e-10,5.78014288137852e-13,4.92740395214733e-13,3.30798151465206e-13,4.82942500239211e-13,4.73190564232919e-12,1.10817355082703e-10,1.06167663496012e-13,1.75813286347988e-13,1.29997905945841e-13,6.86068985659103e-12,1.17565599138736e-14,7.24562396628248e-15,5.93504473400523e-09,2.29135744555829e-11,4.19070346668194e-13,1.26797789369281e-12,1.77790514329787e-11,1.21052359091035e-12,9.62072632942789e-14,3.15820429943486e-12,2.96880135332356e-13,3.8213377491996e-13,1.81829913150454e-07,4.49779990117693e-13,3.67005242552013e-15,1.79109921368905e-12,1.05206421610682e-14,3.78192995168949e-09,4.9382470432213e-14,9.65473041639794e-13,3.98959955650921e-10,1.04768433812736e-10,4.83135840708646e-12,1.18340619372057e-13,9.26385565293997e-13,5.04929844282418e-12,1.76153133419335e-13,1.09707180869768e-15,1.67964688571867e-13,7.51829046997652e-16,1.24941682754804e-12,2.83921474774735e-11
24,7.31038617260636e-18,2.44915597960663e-16,1.27803327748724e-15,1.73848863363535e-20,1.15730767404084e-17,1.51013919780989e-16,8.69270153763437e-18,4.42999752749771e-15,3.5052706642902e-16,5.7143831428488e-18,3.45154322117611e-18,2.35657553273481e-20,4.34785484690655e-19,1.5209266242849e-19,4.74268620664201e-16,2.21904025372927e-18,1.91775800145726e-16,8.76274340935885e-19,9.24243625959395e-19,1.95994359992888e-18,7.98240665668802e-19,1.25015117759518e-16,2.7527806805399e-22,1.00177480173629e-20,1.14477818924095e-18,4.63506352920559e-18,3.67772021061503e-18,7.13122366663926e-21,1.25689830432924e-19,2.13422385011461e-18,7.46980713651894e-20,3.86616054595817e-15,8.58513963539855e-17,1.47648468689579e-16,1.44097909416174e-19,6.27548999442677e-19,5.65048953558705e-18,1.22416363061538e-17,4.85552617271061e-18,3.48605421760619e-12,3.68565833063813e-14,2.40952708682957e-15,2.84551751638441e-17,2.95103706198052e-18,1.15482067869475e-15,1.3407780063985e-16,9.28187509750345e-20,9.50347402920911e-19,1.33820804920084e-18,4.99354830709238e-20,1.08109187762101e-20,1.25058097667561e-17,1.35799454663761e-19,2.45250779330054e-20,4.85508713676943e-18,5.08525033486828e-18,5.64411501691666e-20,7.36556493869245e-17,1.10378781207785e-15,7.11520088919238e-17,8.10349198262518e-17,2.40805288373584e-17,4.14615132633043e-20,6.57454111551548e-18,1.40111052615788e-17,6.81855637278131e-14,6.0297243059662e-17,2.67773844230618e-18,2.92508048443483e-20,8.05767315961736e-21,4.46375388109406e-20,3.51464216524071e-20,3.79788568761358e-14,5.11715922983712e-21,1.88246920436686e-16,1.11175825243509e-19,1.23386196080958e-16,2.65071154192394e-14,7.63713601637463e-19,1.30684157017175e-17,3.57535585067542e-19,9.61203317283451e-19,4.86756392839412e-15,6.80583773591014e-19,0.999999999996322,5.70654429621751e-20,7.34583405030046e-22,2.52633723843923e-20,3.66218260931856e-19,5.58304992449872e-18,4.83266247459603e-20,9.51149403047703e-18,1.32647986485972e-16,5.14269400619399e-19,3.25570645505155e-18,3.20664856926311e-18,2.91552779023685e-21,1.44380549992741e-18,1.19621370822724e-20
28,8.03894657431116e-07,6.19665200030546e-09,2.32665402062397e-09,2.21651987602778e-13,8.80137183764912e-08,1.94176012414293e-09,2.81104724713452e-11,5.63389768208336e-09,0.999905213961615,1.54662103778336e-10,6.26330611068164e-12,1.92170872877753e-10,6.83020056280174e-11,4.91765862018525e-11,1.37324708433534e-10,2.26310368918254e-11,2.70135660649952e-08,6.51792895055415e-09,1.07348903681309e-12,5.31046708418882e-12,3.17711468305391e-12,3.37887391676387e-11,4.40443764868106e-14,3.23955052914023e-14,3.70198609019036e-12,3.60053315816703e-13,2.07321107838144e-10,8.53023432254797e-15,3.48977783988313e-15,3.12102790409914e-14,2.41559375815712e-13,1.52620238721285e-14,6.71001444732023e-10,8.0048661625608e-09,1.28990460908776e-13,5.91664266316842e-12,2.9900093842511e-11,6.76673664499955e-14,1.57018517792929e-11,3.24618365169866e-08,1.50138778210828e-08,5.11048910731558e-13,4.15972506239163e-13,8.59381832375133e-14,1.26498203176677e-12,4.22334106392808e-13,1.05535773257989e-13,3.07322911186039e-12,9.99563368255578e-09,1.97252331220435e-13,1.27113101577695e-12,2.01847950210796e-13,4.47652972018061e-12,3.37200454678358e-13,2.0896400157918e-13,4.33259172826802e-12,8.26332564444934e-12,5.04179347141305e-12,1.37364090647139e-11,3.03979674521587e-13,2.746151545554e-13,7.36829214385129e-12,5.75649130950209e-13,2.56179950205745e-11,1.00810152164304e-11,3.47128255798762e-11,7.4872050588486e-12,7.80238867546356e-11,5.5687813825299e-15,1.38042245288452e-14,1.44349333601487e-13,7.08054285123233e-11,4.76964590979613e-12,2.1725666328952e-09,4.52364099045239e-12,3.59519819285107e-13,3.69208564917173e-12,2.97454816502503e-13,7.63994024326728e-12,6.03481886724154e-16,5.17357323735029e-12,9.65598004631126e-14,6.69321214386589e-12,5.08322902170522e-09,1.08620025037377e-08,9.38111637493894e-11,1.65072252285492e-09,2.15802274458619e-13,2.92306286105179e-12,1.80544482783636e-11,1.56278447970657e-13,4.62275178566633e-09,7.2205909754122e-11,5.57900497471466e-10,9.37169575420762e-05,2.39016540065948e-09,4.42562066302865e-15,1.55691535039375e-12,3.25882316654376e-08
